1521962
/m/057r60
/m/057r60


{"/m/0hwxm": "Historical novel"}
a 3
adventures 1
also 1
amyas 4
an 1
and 4
armada 1
as 2
at 3
ayacanora 1
beautiful 1
beauty 1
been 1
bideford 1
blinded 1
blundered 1
bolt 1
brother 1
brought 1
burnt 1
but 1
by 4
caribbean 1
caught 1
child 1
devon 1
does 1
drake 1
during 1
elizabeth 1
else 1
england 1
eventually 1
everyone 1
fate 1
finding 1
follows 2
for 1
francis 1
frank 1
freak 1
gold 1
had 2
he 2
his 2
ho 1
i 1
in 4
indian 1
initially 1
inquisition 1
into 1
involves 1
kidnap 1
leigh 2
life 1
lightning 1
local 1
loses 1
love 1
loves 1
maiden 1
man 1
misfortune 1
much 1
nearly 1
north 1
not 1
novel 1
of 6
only 1
process 1
reign 1
returns 1
rose 3
salterne 2
sea 2
seeking 1
set 1
spaniard 1
spaniards 1
spanish 1
spends 1
stake 1
the 12
time 2
to 2
true 1
unruly 1
were 1
westward 1
who 2
yet 1
young 1
