20353998
/m/04zybyc
/m/04zybyc
Harlan Coben

a 15
accident 1
accomplice 1
adoption 1
after 2
again 1
all 1
ambush 1
ambushed 2
an 1
and 10
angels 2
angola 1
anything 1
are 2
area 1
arriving 1
asks 1
at 2
back 1
backpack 1
been 5
before 1
being 2
berleand 2
black 1
blonde 5
blood 1
blueeyed 2
bolitar 1
book 1
boy 1
brainwashed 1
bus 1
but 1
by 7
call 1
car 1
catches 1
cell 2
charges 1
charity 2
children 2
christians 1
cleared 1
come 1
conservative 1
create 1
crime 1
crowded 1
custody 1
daughter 4
dead 1
death 1
detective 1
discovers 1
divorce 1
dna 1
does 1
down 2
elusive 1
embryos 1
embyos 1
end 1
enforcement 2
entering 1
exhusband 1
exlover 1
facility 1
fact 1
failed 1
faked 1
follows 1
for 1
found 1
french 2
from 4
frozen 1
girl 4
glimpse 1
government 1
grave 1
group 1
had 1
happened 1
has 3
have 1
he 3
heavy 1
her 3
hiding 1
him 1
his 2
home 2
hopes 1
house 1
if 1
illegally 1
immediately 1
implied 1
in 6
incarcerated 1
informed 1
informs 1
innocence 1
interrogation 1
into 3
investigate 1
investigating 1
is 13
it 1
kidnapped 1
kill 1
killed 2
law 2
lead 1
led 1
london 2
long 1
lost 1
maintained 1
matched 1
meanwhile 1
miriam 1
miriams 2
missions 1
murder 1
murdered 2
murdering 1
myron 11
nearly 1
not 1
of 9
on 1
only 1
out 1
over 1
paris 1
perhaps 1
phone 1
pictured 1
police 1
previously 1
prime 1
promotes 1
prove 1
raised 1
realized 1
recall 1
receives 1
released 1
research 1
resembles 1
rick 3
ricks 3
rightwing 1
run 1
same 1
samples 1
save 2
scene 1
second 2
secret 1
seeking 1
seen 1
sees 1
she 2
shortly 1
since 1
site 1
soon 1
states 2
stemcell 1
stepping 1
stolen 1
suicide 1
suspect 1
suspected 1
suspects 1
taken 3
teenage 3
ten 1
terese 7
tereses 2
terrorist 3
terrorists 4
that 10
the 24
them 1
there 2
they 1
to 9
torture 1
tourists 1
track 2
tracks 1
training 1
united 2
upon 2
used 1
walking 1
was 4
website 1
were 1
when 1
where 1
which 1
while 1
who 4
wife 1
win 1
wiped 1
with 3
wonders 1
years 1
