7126995
/m/0h5kg8
/m/0h5kg8
Richie McMullen
1989
{"/m/05hgj": "Novel"}
a 8
abuse 1
abused 2
adores 1
age 2
also 1
and 9
are 1
as 1
at 3
away 1
boy 3
british 1
brother 1
brought 1
but 2
by 5
can 1
childhood 1
cinema 1
circus 1
come 1
construction 1
continually 1
cousin 1
crime 1
dangers 1
dares 1
desperate 1
disgusts 1
doomed 1
drunk 1
effect 1
eight 1
elder 1
equal 1
excites 1
experiments 1
fallen 1
father 2
fifteen 1
finds 1
first 1
for 1
fourteen 1
friends 1
from 2
girls 1
had 1
has 1
have 1
he 6
him 3
his 8
home 4
in 6
industry 1
is 8
it 1
james 1
knowing 1
leads 1
leaving 1
life 1
living 1
london 1
longlasting 1
making 1
man 1
measure 1
men 1
merchant 1
mike 2
molested 1
navy 1
of 6
older 1
over 1
pedophile 1
persuades 1
petty 1
physically 1
piccadilly 1
pip 1
power 1
prefers 1
prostitution 2
raped 1
realises 1
realities 1
regularly 1
relationship 1
rent 2
richie 4
routinely 1
runs 1
sex 1
sexually 1
so 1
stopping 1
that 1
the 9
their 1
thinking 2
this 1
thoughts 1
time 1
to 2
turning 1
twelve 1
two 1
were 1
when 1
who 3
with 3
works 1
