25751538
/m/09v19sd
/m/09v19sd
Bernard Cornwell
2009
82 1
a 20
able 1
accepts 1
accord 1
act 1
adopt 1
adulterer 1
advance 1
advised 1
advisor 1
advisors 1
aelfric 1
aethelflaed 14
aetheling 1
aethelred 5
aethling 1
after 3
again 1
against 3
ahead 1
aldhem 3
alfred 28
alfreds 1
all 1
allowing 1
along 2
alongside 1
also 3
although 1
an 6
and 58
another 1
appears 1
approaches 1
are 3
army 2
arrival 1
arrives 3
as 9
asks 1
assault 2
assaults 1
assembled 1
asser 1
at 9
attack 5
attacked 1
attacks 1
attempts 1
away 2
back 3
baemfleot 2
bait 1
baptism 1
battle 3
battles 1
be 1
bear 1
bebbanburg 2
because 2
become 3
becomes 1
beehives 1
bees 1
before 1
began 1
begins 1
behest 1
bellorum 1
beloved 1
benfleet 1
beocca 1
best 1
betrayal 1
between 1
birth 1
bishop 2
bloodhair 2
bore 1
break 1
brida 1
brilliantly 1
bring 1
broken 2
brother 1
builds 1
but 4
butchers 1
by 8
campaign 1
can 1
cannot 2
captive 1
capture 2
captured 1
captures 1
caught 1
celebrating 1
cent 1
child 2
childbirth 1
children 4
cnut 1
come 2
commitment 1
conflict 1
congenial 1
convinces 1
council 1
crippled 1
curse 1
custody 2
dane 1
danes 3
danish 3
daughter 1
dead 1
deal 1
decade 1
declares 1
defeat 2
defeats 2
defenders 1
defenses 1
delivers 1
demands 1
denies 1
denounce 1
devastated 1
devil 1
died 2
directs 1
disappointed 1
dislike 1
dislikes 1
distract 1
ditch 2
divorce 2
does 1
doesnt 1
dunholm 1
during 3
dux 1
each 1
eager 1
ealdorman 1
earl 1
earnest 1
edward 6
either 2
elfwold 1
embraces 1
encounters 1
encouraged 1
end 1
enemy 1
england 1
envoy 1
erkenwald 1
escape 1
escapes 1
even 1
eventually 1
except 1
expectations 1
failing 1
fails 2
fake 1
family 2
farnham 2
father 5
fears 1
few 1
fighter 1
finds 2
fine 1
first 4
fleet 1
flies 1
followers 1
footing 1
for 6
force 5
forces 1
former 1
formidable 1
fort 2
fortress 1
forts 2
free 2
freedom 1
friend 4
frisia 1
from 8
front 2
furious 1
get 1
gisela 3
give 1
given 1
go 1
godgiven 1
godwin 2
goes 3
gold 1
governor 2
great 1
had 1
haesten 14
half 1
hall 1
harald 12
has 9
have 1
he 26
heir 1
her 12
him 13
his 26
holds 2
horde 3
hostage 1
hostages 2
hostile 1
house 2
how 1
however 6
huge 1
hundred 1
husband 2
if 2
ill 1
in 14
indecision 1
infatuated 1
influence 1
into 2
intones 1
invading 1
is 21
island 2
islands 1
it 2
jarl 3
jarls 1
journey 1
kent 1
kill 3
kills 4
king 1
kingdom 1
knows 1
ladders 1
large 1
larger 1
later 1
lead 2
leader 1
leading 1
leads 1
learns 1
leave 1
leaves 2
less 1
liberates 1
life 1
line 1
london 1
long 3
loot 1
lord 3
lords 3
loses 1
love 1
lover 1
lovers 2
loyally 1
loyalties 1
lunden 1
lundene 2
lure 1
mad 1
made 1
major 1
make 4
makes 1
marches 1
meant 1
meet 2
meeting 2
meets 1
men 1
mentor 1
mercia 4
mercian 3
merciansaxon 1
message 2
military 2
missionaires 1
modest 1
more 3
most 1
my 3
name 1
natural 1
nearly 1
need 1
nevertheless 1
newfound 1
news 1
next 1
none 1
northumbria 2
northumbrian 1
not 2
now 4
oath 6
oaths 2
obligation 1
occurred 1
of 27
old 2
ominous 1
on 6
one 2
only 1
onto 1
or 2
ordered 1
other 2
over 2
own 2
palisade 1
parties 1
party 1
passes 1
pay 2
people 1
places 1
plan 2
plunder 1
point 1
power 1
predates 1
preeminent 1
preparations 1
prepared 1
presumed 1
prisoner 1
proceed 1
promptly 1
properties 1
protagonist 1
protect 1
provide 1
pursestrings 1
pyrlig 4
rage 1
ragnar 4
raiding 1
raised 2
ransom 1
ranting 1
reach 1
rear 1
refers 1
refuses 1
reinforced 1
releases 1
reluctant 1
reminds 1
reneges 1
repel 1
rescue 1
respects 1
rest 1
retainer 1
retreats 1
return 2
returned 1
reunites 1
right 1
ropes 1
safe 1
safety 1
sail 1
sailing 1
sails 3
same 2
saved 1
saxon 2
says 3
scale 1
scales 1
scour 1
second 2
seduction 1
sending 1
seriously 1
serve 3
served 1
severely 1
sex 1
share 1
sharing 1
she 4
side 1
sigrid 1
silence 1
sister 1
skade 19
skirnir 3
slippery 1
small 1
so 1
soldier 1
son 3
song 1
sown 1
specially 1
steapa 2
stole 1
story 1
stronghold 2
succeeds 1
suddenly 1
support 1
sure 1
surprising 1
surrounded 1
swear 2
sword 1
take 1
takes 1
teaching 1
tells 2
terms 1
thames 1
than 2
that 18
the 54
their 3
them 3
then 6
there 5
they 3
this 3
thorney 1
those 1
though 1
threatens 2
throne 1
throws 1
thus 1
time 1
timely 1
titles 1
to 64
torneie 1
trapped 1
traveling 1
treasure 1
tries 2
troops 3
trusts 1
twelve 1
two 1
uhtred 48
uhtreds 1
ultimately 1
uncle 1
undergoes 1
until 1
unwilling 1
up 1
urges 2
use 4
uses 1
using 1
vengeful 1
victory 1
viking 1
village 1
wait 2
wall 1
walls 2
wanted 1
wants 1
war 1
warlord 1
warning 1
was 3
way 1
ways 1
welshman 1
wessex 5
when 9
where 1
while 3
who 4
whom 2
whore 1
whose 2
wife 3
will 3
win 1
winter 1
winters 1
wishes 1
with 17
woman 2
women 1
won 1
works 1
would 1
wounded 1
year 1
