24476575
/m/080glzz
/m/080glzz
Justin Somper
2010
a 1
alliances 1
allies 1
and 12
are 3
as 1
assassin 1
becoming 1
before 1
benign 1
both 2
bring 1
building 1
by 2
cheng 1
conflict 1
connor 2
could 1
deep 1
discovery 1
empire 1
ever 2
explosive 1
faces 1
federation 1
find 1
foes 1
forced 1
foreseen 1
from 3
fuelled 1
furey 1
game 1
grace 2
grief 1
growing 1
have 1
he 1
heart 1
higher 1
implications 1
in 3
including 1
intent 1
into 1
is 1
its 1
king 1
led 1
li 1
lorcan 1
more 1
mosh 1
new 2
nocturnals 2
noone 1
oceans 1
of 3
old 1
on 1
opposition 1
parenthood 1
pecker 1
pirate 1
possibly 1
raise 1
realm 1
recent 1
renegade 1
response 1
revenge 1
ricocheting 1
rise 1
shifting 1
sidorio 2
stakes 1
still 1
tempest 1
terror 1
than 1
the 13
their 3
threat 1
thrown 1
thrust 1
to 4
together 1
true 1
twins 1
unexpected 1
urgent 1
vampirate 2
vampirates 2
ways 2
zu 1
