8374507
/m/02717dm
/m/02717dm
Madeleine L'Engle
1945
{"/m/05hgj": "Novel", "/m/01jym": "Bildungsroman"}
a 13
accident 1
acting 1
actress 2
addition 1
adopted 1
adores 1
after 5
all 1
along 1
also 2
an 4
and 15
another 1
apartment 1
appears 1
are 1
arrival 1
as 6
at 4
attraction 1
aunt 1
autocratic 1
away 2
back 1
become 1
becomes 2
been 1
begin 1
beginning 1
begins 2
behind 1
bejart 1
betrayed 1
better 1
birthday 1
boarding 1
bodeway 1
both 1
brief 1
briefly 1
broadway 1
but 2
by 1
career 1
charles 1
close 1
closer 1
cold 1
comes 1
comfortable 1
composer 1
connections 1
continues 1
cordial 1
courmont 1
death 1
deep 1
develop 1
different 1
distant 2
doesnt 1
doing 1
doubly 1
each 1
ended 1
engaged 1
especially 1
extremely 1
family 1
famous 1
father 1
felix 1
finally 1
for 2
form 1
forrester 1
four 1
friend 2
friendship 2
from 2
get 1
girl 1
girls 2
gratified 1
has 3
he 2
help 1
her 12
herself 1
him 2
however 3
iciness 1
in 7
intense 2
interrogates 1
into 1
involved 1
is 8
julie 3
just 2
justin 5
katherine 15
knew 1
known 1
later 1
latter 1
learns 1
leaves 2
little 1
lives 1
living 1
look 1
love 1
loving 1
madame 1
make 1
making 1
manya 8
marries 1
meant 1
meets 1
melt 1
mesh 1
met 1
miserable 1
misinterpret 1
miss 1
mostly 1
mother 2
music 1
named 1
need 1
new 2
not 3
now 1
of 5
officials 1
often 1
old 1
on 2
once 1
or 2
originally 1
ostensibly 1
other 2
paris 1
passion 1
peers 1
pete 3
physician 1
pianist 1
piano 3
practice 1
premature 1
previously 1
professional 1
questionable 1
relationship 3
represent 1
rest 2
returns 2
reunited 1
romance 1
romantically 1
sarah 7
school 5
seems 1
seen 1
send 1
sergeivna 1
seventh 1
severed 1
shady 1
shares 1
she 9
since 1
someone 1
son 1
stage 1
starts 1
studies 1
study 2
studying 1
style 1
suffering 1
supports 1
switzerland 1
teacher 3
teachers 1
ten 1
term 1
that 4
the 17
theater 1
them 2
there 3
this 1
though 1
three 1
through 1
to 15
tom 2
truly 1
two 2
ultimately 1
unable 1
understands 1
until 2
upon 1
urging 1
used 1
valentine 1
vigneras 1
was 3
wasp 1
when 1
while 1
who 6
whom 1
whose 1
with 16
without 1
world 2
years 2
york 2
young 2
