15290077
/m/03hp693
/m/03hp693
Sheila Gordon

{"/m/0dwly": "Children's literature"}
a 6
about 2
active 1
africans 1
after 1
against 2
also 1
an 3
and 21
andor 1
apartheid 3
arabic 1
are 2
army 2
arrives 1
as 5
asks 1
at 2
be 3
becomes 1
begins 1
black 1
blacks 2
book 2
books 1
boredom 1
boys 1
break 1
briefly 1
but 2
by 2
cannot 1
chance 1
choice 1
choose 1
city 3
closely 1
college 1
comes 1
continue 1
conversation 1
course 1
cousin 1
day 2
decision 1
demonstrations 1
derogatory 2
desperately 1
details 1
determined 1
directed 1
does 2
down 1
due 1
education 4
enemy 1
erupting 1
escape 1
events 1
every 1
evils 1
eyes 1
faced 1
family 1
farm 2
fellow 1
fight 1
finds 1
foolish 1
for 5
four 1
friendship 1
frikkie 8
from 3
functions 1
get 2
gets 1
gilbert 1
go 3
government 1
grinding 1
has 1
he 9
hesitant 1
him 2
his 6
holidays 1
how 2
however 1
huts 1
imposing 1
in 9
is 12
it 2
johannesburg 4
join 1
joseph 2
kaffir 1
kleinbaas 1
know 2
knowledge 1
koos 2
kraal 1
kuffar 1
later 1
laws 1
learn 1
learning 1
least 1
leaves 1
life 1
like 2
literally 1
live 1
lives 2
living 1
loves 1
make 3
mandatory 1
master 2
matriculate 1
meaning 1
means 2
member 1
miller 1
millers 1
more 10
mrs 1
much 2
mud 1
must 1
native 1
nigger 1
noisy 1
nonbeliever 1
not 3
now 1
of 6
offers 1
old 1
on 4
one 3
only 2
oom 2
opened 1
or 1
oubaas 1
out 2
over 2
overseas 1
part 3
people 1
permission 1
piccanin 1
possible 1
protests 1
quench 1
receives 1
receiving 1
referred 1
regime 1
response 1
returns 1
rev 1
riots 1
rules 1
said 1
school 3
schooled 1
see 2
selina 1
sent 1
serving 1
set 1
several 1
should 1
shut 1
similar 1
slightly 1
small 1
smelly 1
so 1
soon 1
south 1
squalid 1
stop 1
stricter 1
tells 1
tengo 13
tenuous 1
term 4
than 1
that 3
the 22
their 1
them 2
there 3
they 1
thirst 1
this 4
through 1
time 2
to 24
township 1
translated 1
tries 1
try 1
tutoring 1
two 3
uncle 1
understand 1
until 1
usa 1
used 1
villages 1
visits 3
want 1
wants 2
when 2
white 2
who 3
why 1
wishes 1
with 2
work 1
would 1
years 1
young 3
