10127495
/m/02q2pjv
/m/02q2pjv
Andrew Clements
2006
a 4
about 1
ago 1
alexa 1
an 1
and 2
andersons 2
april 1
attic 1
avid 1
be 1
became 1
but 2
by 1
deep 1
detective 1
determined 1
face 2
family 1
fan 1
find 1
girl 1
grader 1
hammond 1
he 5
her 1
his 1
house 1
into 1
is 3
it 1
looks 1
moved 1
mysterious 1
mystery 1
newspaper 1
normal 1
of 1
on 1
one 2
or 1
out 3
passes 1
past 1
problems 1
regarding 1
remembers 1
room 1
routes 1
sees 1
sixth 1
soon 1
story 1
ted 2
that 3
the 3
their 1
thought 1
through 1
to 2
turns 1
was 1
what 1
when 1
who 1
whose 1
window 1
with 1
years 1
