3522849
/m/09j7wy
/m/09j7wy
Colin Wilson
1956
10s 1
24 1
24yearold 1
a 16
adjusted 1
admitted 1
adorning 1
afflicted 1
age 1
ago 1
alienation 2
amidst 1
an 1
and 10
angry 1
are 4
artists 1
as 7
at 4
attempt 1
attention 1
author 1
be 3
being 1
belief 1
blurb 1
body 1
book 5
bookstores 1
brought 1
cafe 1
case 1
chapter 1
character 1
characters 1
christmas 1
comments 1
connolly 2
continues 1
controversial 1
cover 2
creating 1
creativity 1
crime 1
critical 1
criticism 1
critics 1
cyril 1
day 2
describes 1
despair 1
detailed 1
dislocation 1
dostoevsky 1
edith 1
edition 1
either 1
emotions 1
engages 1
england 1
enthusiastic 1
even 1
every 1
example 1
examples 1
experience 2
failed 1
fallacy 1
fast 1
feel 1
figures 1
final 1
first 2
for 2
fore 1
from 3
garners 1
gloom 1
great 1
had 2
hadnt 1
hardback 1
have 1
he 3
health 1
herein 1
hermann 1
hero 1
hesses 1
high 1
his 5
hopeful 1
however 1
human 1
illustrated 1
in 11
including 1
inside 1
insightful 2
intellectual 2
is 14
it 5
its 2
jiddu 1
justifies 1
key 1
krishnamurti 1
late 1
later 1
least 1
life 1
lifts 1
like 1
likes 1
listens 1
literary 1
lost 1
lucidity 1
made 1
mainstream 1
malaise 1
many 2
margin 1
measure 1
metaphors 1
mindset 1
mirror 1
modern 1
moment 1
momentarily 1
moments 1
more 2
most 1
names 1
narrative 1
nausea 1
needless 1
neot 1
nihilism 1
no 2
nonacademic 1
nontranscendence 1
normalized 1
novel 1
occult 1
odds 1
oeuvre 1
of 17
offering 1
on 3
one 3
or 4
out 2
outlook 1
outsider 3
over 1
own 2
paperback 1
perhaps 1
pessimistic 1
philosophical 1
philosophy 1
piece 1
populist 1
preoccupation 1
presented 1
profoundly 1
psychology 1
published 3
put 1
read 1
reception 1
reinventing 1
religion 2
reputation 1
rocketed 1
sank 1
sartre 1
section 1
sections 2
seem 1
seminal 1
sense 1
several 1
shared 1
shelved 1
sick 1
sitwell 1
so 1
society 3
sociology 1
solution 1
some 1
sometimes 1
song 1
spirits 1
spirituality 1
st 1
staple 1
steppenwolf 1
still 4
structured 1
studies 1
subsequent 1
successful 1
such 1
synthesis 1
task 1
text 1
than 1
that 4
the 23
their 2
then 2
these 2
they 1
things 1
thirty 1
this 2
those 1
though 1
throughout 1
timeless 1
title 1
to 10
tries 1
under 1
undergroundman 1
understand 1
up 1
usual 1
various 1
was 1
watermark 1
way 2
weakness 1
well 3
were 1
western 1
when 1
which 5
who 3
wilson 4
with 4
work 3
worthwhilemeaningful 1
writings 1
years 1
youthful 1
