11929992
/m/02ryhq4
/m/02ryhq4
Samuel Youd

{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
a 7
across 1
along 1
and 6
any 1
are 2
bands 1
barbarism 2
below 1
beneath 1
borders 1
bottom 1
boy 1
but 1
captain 1
channel 2
cities 1
clothes 1
companion 1
competing 1
cotter 3
daughter 2
decides 1
descended 1
desert 1
discover 1
dramatically 1
earthquakes 1
elsewhere 1
empty 1
england 1
english 1
europe 1
even 1
eventually 1
faint 1
finally 1
finds 2
flooded 1
food 1
forbidden 1
former 2
from 1
guernsey 2
handful 1
has 4
he 2
heartily 1
himself 1
his 5
hope 1
horticulturalist 1
in 2
into 2
is 2
island 1
land 1
lands 1
leave 1
lodging 1
lost 1
mainland 2
make 1
massive 1
matthew 1
meet 1
mind 1
most 1
movies 1
muddy 1
of 7
on 5
one 1
only 2
plunge 1
plunged 1
powerful 1
preying 1
protagonist 1
provided 1
provisions 1
reduce 1
returns 1
rubble 1
scale 1
scavengers 1
sea 1
seabed 1
sealevel 1
series 1
ship 1
shown 1
situation 1
slipped 1
some 1
somehow 1
staying 1
survived 1
survivors 4
sussex 1
take 1
that 2
the 14
their 1
them 1
they 3
to 8
towns 1
transforming 1
trek 1
uplifted 1
was 1
way 1
welcomed 1
western 1
when 1
where 1
while 1
who 2
with 4
worldwide 1
young 1
