1013837
/m/03z7xz
/m/03z7xz
Terry Pratchett
2003
a 24
able 2
abomination 2
abominations 2
about 1
according 2
accordingly 1
action 1
actually 2
admits 1
after 1
aftermath 1
again 1
against 1
aid 1
alive 1
all 1
alliance 2
allowed 1
also 5
although 1
altogether 1
always 1
among 1
an 4
and 32
another 2
anyone 1
apprehensions 1
are 11
army 5
as 9
assumes 1
assures 1
at 1
away 2
babies 1
badly 1
banned 1
barges 1
based 1
be 3
become 1
becomes 1
been 1
beets 1
being 1
belief 2
believer 1
bellicose 1
bit 1
bleak 1
blouse 1
blue 1
border 1
borogravia 8
borogravian 2
boyimpersonating 1
breaks 1
brief 1
brother 2
brought 1
bulk 1
business 1
but 3
buttons 1
by 4
cannot 1
captured 2
carborundum 1
case 1
cats 1
caused 1
causes 2
chance 1
changed 1
child 1
children 1
chocolate 1
colour 1
commander 2
commanding 1
confirmation 1
conflict 2
conflicts 1
conservative 1
corporal 1
corpulent 1
council 2
countries 1
country 7
cousin 1
days 2
de 1
decided 1
decides 1
decrees 1
deify 1
deity 2
demonstrates 1
denies 1
desperately 1
despite 2
detachment 1
dies 1
discharge 1
discovered 1
discovers 2
discovery 1
discworld 1
disguising 1
dispute 1
do 1
does 1
doing 1
dress 1
driven 2
drunken 1
duchess 6
due 1
ears 1
elite 1
encounter 1
encounters 2
ending 1
enemy 3
enlists 1
even 2
event 1
eventually 1
everyone 2
except 1
exploits 1
family 1
famous 1
fate 1
father 2
favored 1
feature 1
feet 1
fellow 1
females 1
few 2
fight 1
fighting 1
find 2
finds 3
fleeing 1
folk 1
follow 1
food 1
for 3
force 1
forces 2
fought 1
from 3
front 1
gained 1
garlic 1
generals 1
ginger 1
girl 3
give 1
gives 1
going 1
goom 1
gradually 1
grants 1
group 1
had 1
hair 1
halter 1
has 1
having 1
he 1
head 1
heinrich 1
her 18
herself 1
highly 1
him 1
himself 2
hints 1
his 3
home 4
how 1
humiliates 1
if 1
igor 3
igorina 1
in 15
include 3
including 2
increasingly 1
inexperienced 1
infiltrate 1
influence 1
inhabitants 1
injured 1
inside 1
instead 1
interest 1
intervenes 1
is 19
isters 1
it 1
its 2
jackrum 3
jigsaw 1
johnny 1
join 1
joined 2
joining 1
joins 1
just 1
keep 5
kiss 1
kisses 2
known 4
knows 1
later 2
law 1
leader 1
leadership 2
leads 1
level 1
lieutenant 1
like 1
limited 1
list 2
live 1
lives 1
lofty 4
long 1
lost 1
main 1
makes 2
maladict 3
maladicta 1
man 3
manage 1
manickle 1
marching 1
meanwhile 1
midst 2
military 2
missing 1
monstrous 1
more 1
most 3
much 1
mysterious 1
name 1
named 3
negotiates 1
neighbouring 1
neighbours 1
new 2
newspaper 1
next 1
night 1
noble 1
not 4
now 1
nuggan 4
nugganitic 1
obligation 1
occasionally 1
of 36
off 2
officer 1
officers 3
often 1
oftenupdated 1
oliver 3
on 3
once 1
one 2
only 2
openly 1
or 2
order 1
out 2
outside 1
over 2
own 2
painting 1
particularly 1
passionate 1
patriotic 1
paul 3
peace 1
people 2
perks 2
perspective 1
piques 1
place 1
plot 1
point 1
polly 17
poorly 1
possession 1
power 1
pray 1
pregnant 1
prince 1
private 1
problems 1
profitable 1
progress 1
property 1
providing 1
psychotic 1
pub 2
put 1
puzzles 1
qualified 1
quit 1
raised 1
really 1
regarded 1
regarding 1
regiment 8
release 1
religion 1
religious 1
remove 1
repair 1
repulsively 1
retake 1
return 3
returning 1
returns 1
revealing 1
reveals 1
revelation 1
right 1
rocks 1
role 1
rules 1
rumour 1
run 1
said 1
saves 1
secretly 1
seek 1
senior 1
sent 1
sergeant 1
serve 1
service 1
sets 1
several 2
she 6
shed 1
shirts 1
shortage 1
shorter 1
shufti 2
signing 1
since 1
situation 1
six 1
slow 1
slowly 1
small 2
smell 1
sneaks 1
sneezing 1
so 5
soldiers 2
some 1
sometime 1
song 1
startling 1
stationed 1
strappi 2
subdues 1
successfully 1
supplies 1
surgery 1
sweet 2
take 1
takes 2
taking 1
talents 1
tavern 1
tewt 1
than 1
thanks 1
that 11
the 64
their 11
them 3
themselves 1
these 1
they 7
things 2
this 6
though 2
three 1
through 1
to 32
together 1
tonker 2
top 1
toward 1
track 1
troll 1
troops 2
truce 1
uncertain 1
under 1
unknowingly 1
unto 2
up 3
urges 1
using 1
vampire 1
vimes 2
visions 1
voice 2
war 5
washerwomen 1
way 1
ways 1
wazzer 2
well 2
when 3
where 3
whereabouts 1
which 1
while 1
who 3
whom 1
whose 1
will 2
william 1
with 6
woman 2
women 5
wont 1
worde 1
world 1
zlobenia 2
