12513254
/m/02w9tyd
/m/02w9tyd
Kálmán Mikszáth
1910

a 5
advice 1
all 3
and 8
antal 2
are 1
arrogant 1
be 1
became 1
because 1
becomes 1
been 1
before 1
being 1
believe 1
between 1
bizarre 1
black 2
blood 2
body 1
boundaries 1
burning 1
but 4
by 3
catch 1
catches 1
citizens 2
city 1
close 1
clothes 2
combat 1
company 1
completed 1
conflict 1
county 1
csk 1
dancing 1
daughter 1
dead 2
death 1
dies 1
discovery 1
dog 1
during 2
embalms 1
executes 1
expedition 1
fabricius 3
fail 1
falls 2
fatally 1
father 2
favourite 1
field 2
folk 1
for 6
gave 1
glad 1
grgey 5
grgeys 1
hands 1
has 2
have 1
having 1
he 3
her 2
hides 1
him 2
his 6
home 1
hoping 1
hungarian 1
hunting 1
in 4
injured 1
is 4
killed 1
kills 1
king 1
kramler 2
kroly 2
landclaimingblood 1
large 1
late 1
lcse 6
leader 1
let 1
liberty 1
love 1
made 1
magistrate 10
makes 1
marked 1
marks 1
members 1
mt 1
murdered 1
murderer 1
name 1
next 1
noble 1
not 1
now 2
nustkorb 3
of 15
on 2
one 2
orders 1
otrokcsy 1
out 1
own 1
owned 1
pl 1
plans 1
possession 1
privilege 1
protect 1
rbert 1
realises 1
revenge 3
revenged 1
rkczi 1
rozlia 3
rozlias 1
ruler 1
saxon 1
secret 1
senator 1
service 1
she 1
shocked 1
shoots 1
singing 1
so 1
sought 1
special 1
statue 1
stillliving 1
streets 1
szepes 1
takes 1
that 5
the 26
their 3
then 1
thirsting 1
this 2
thus 1
to 4
too 1
town 1
trap 1
traumatized 1
tries 1
true 1
under 1
until 1
war 1
was 3
wear 1
when 2
who 1
will 1
with 2
youngest 1
