143815
/m/0125zf
/m/0125zf
Ira Levin
1970
a 15
abandoned 1
able 1
acts 1
adviser 2
affair 1
after 1
again 2
albino 1
all 2
already 2
also 1
an 2
and 21
another 1
are 5
arm 1
around 1
arranged 1
arrive 1
art 1
as 7
at 1
attention 1
attract 1
attracted 1
awake 2
away 1
back 1
be 1
beach 1
beautiful 1
becomes 2
before 2
begin 2
begins 4
begun 1
beneath 1
block 1
blow 1
blowing 1
boat 1
but 6
by 6
can 2
captured 1
career 2
chief 1
child 1
chip 14
choice 2
citizen 1
city 1
comes 1
commits 1
completes 1
computer 1
conceives 1
convenient 1
daring 1
dark 1
daytime 1
delayed 1
denied 1
die 1
disappeared 1
discover 1
discovered 1
do 1
docility 1
dreams 1
earthquake 1
emotions 1
encouragement 1
escaped 1
eventually 1
explosives 1
eye 1
failsafes 1
fall 1
feel 1
fights 1
finding 1
first 2
for 4
forever 1
forget 1
from 3
fully 1
future 1
game 1
genetic 1
get 1
girlfriend 1
good 1
grandfather 2
green 1
group 4
grows 1
had 1
has 3
have 4
he 15
head 1
her 1
him 2
his 10
how 2
idea 1
if 2
imagining 1
in 7
including 1
incurable 1
incurables 7
indeed 1
initially 1
inquisitive 1
interacted 1
into 2
is 9
island 1
islands 5
its 1
jan 1
join 1
just 1
kidnaps 1
killing 1
king 4
last 1
later 1
lead 1
leads 1
learn 1
learns 2
li 1
life 1
like 2
lilac 6
live 2
locates 1
luxurious 1
luxury 1
mainland 1
majorca 2
make 2
manifestations 1
map 1
maps 1
materials 1
meanwhile 1
medicenter 1
meets 1
member 3
members 6
met 1
might 1
minor 1
mission 1
mistake 1
modern 1
more 2
most 1
mostly 1
museum 1
nearest 1
new 2
nicknamed 1
nonconformist 2
nonconformists 1
nonsense 1
not 1
nozzle 1
obtains 1
occasional 1
oddities 1
of 12
off 1
old 2
on 1
one 3
original 1
other 4
perhaps 1
pick 1
picking 1
plandestroy 1
planners 1
planted 1
play 1
population 1
potential 1
process 1
procuring 1
programmers 3
programming 1
rain 1
rare 1
reach 1
real 1
really 1
records 1
recruitment 1
recruits 1
reduced 1
refrigeration 1
regular 1
remembers 2
resort 1
resourceful 1
returns 1
rm35m441 1
ruse 1
scheduled 1
search 1
secret 2
seems 1
selfishness 1
settle 1
she 3
shield 1
signs 1
skin 1
snowflake 2
so 2
society 1
some 2
soon 2
steals 1
stronger 1
strongwilled 1
subversive 1
such 1
system 1
teach 1
tell 1
tells 1
test 1
that 9
the 26
their 4
them 3
themselves 1
there 2
these 3
they 9
things 1
this 1
through 3
time 2
to 20
told 1
too 2
trapped 1
treated 2
treatment 2
treatments 1
tries 1
typical 1
underground 1
unicomp 7
unification 1
unusually 1
up 4
wake 1
wanting 1
wary 1
was 1
way 2
wei 3
were 1
what 1
when 1
where 3
who 6
will 3
willingly 1
with 3
woman 1
wonder 1
world 1
years 1
