15514492
/m/03mcxn0
/m/03mcxn0
Flint Dille
1986
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
118 1
13 17
130s 1
180feet 1
a 24
about 1
accomplished 1
advance 1
advisor 1
affairs 1
after 3
against 2
agent 16
agents 5
aim 1
aircraft 2
airship 1
alive 1
all 8
ally 1
almost 1
alone 1
along 2
also 2
always 1
ambush 1
ambushers 1
american 1
an 11
ancient 1
and 25
another 1
anschluss 1
antiquity 1
antisemitic 1
armament 1
around 3
arranging 1
as 16
assassin 1
assassins 1
assistant 2
at 5
atlantic 1
attended 4
attendees 1
attorney 1
austria 1
avoid 1
awful 1
back 1
background 1
badly 1
bait 1
bankrolled 1
barely 2
base 2
bavaria 1
be 5
before 6
beneath 2
benevolent 1
best 1
blackmail 1
blackmailer 1
blackmailers 2
board 1
boarded 1
bodies 1
bonus 1
book 1
bridge 1
brotherhood 21
brown 1
buckhurst 1
burnt 1
but 5
by 10
call 1
called 2
calling 1
candidate 1
capable 2
card 1
carefully 1
carried 1
carrying 1
cause 1
causing 1
centuries 1
chamber 3
changed 1
childhood 1
china 4
church 1
city 2
civilizations 1
claimed 2
clandestine 1
close 1
closely 1
clue 1
clues 1
coast 1
collect 1
collected 1
colonel 3
community 1
complete 1
composed 1
concealed 1
conducted 1
constantin 1
control 2
corpse 1
could 1
council 3
crash 1
crusade 1
crystal 3
culture 1
cunning 1
damage 1
darr 3
david 2
dead 1
death 2
debacle 1
decision 1
dedicating 1
deduced 1
defeated 1
definite 1
deliberate 1
demagogue 1
demanding 1
demonstration 1
deputy 1
desperate 1
destroyed 1
destruction 3
developed 1
development 2
did 1
direct 1
director 1
disaster 1
disasters 2
disclose 1
discovered 2
disguise 1
disguised 2
disposal 1
diva 1
division 1
documents 2
dollfuss 1
down 1
dr 2
drastically 1
during 2
easily 1
east 1
easy 1
elaborate 1
elite 1
emotionless 1
endeavor 1
enemy 1
engelbert 1
entrance 1
escaped 3
escaping 1
even 1
events 2
everyone 1
evil 1
existence 2
experimental 2
experiments 1
exploits 1
expression 1
eye 1
factions 1
familiar 1
famous 1
far 1
fbi 1
fear 1
fight 1
fighting 1
film 2
filmings 2
filtered 1
first 1
fischer 4
fled 1
flight 1
foe 1
follow 1
footpad 2
for 7
forehead 1
fought 1
found 2
founded 1
founder 1
from 10
gain 1
gasp 1
general 1
germany 3
globe 1
goal 1
governments 1
grave 1
great 1
groomed 1
guiding 1
gun 3
gyrakos 1
had 3
hagia 1
halloran 1
hand 2
have 1
having 3
he 7
head 1
headquarters 1
heard 1
hidden 2
high 1
him 1
himself 2
hinderburg 1
hinted 1
his 16
history 1
hitler 1
how 1
human 2
humiliated 1
hunted 1
hurrying 1
i 1
icy 1
identify 1
ii 1
immortal 1
impossible 1
imprinted 1
in 25
indicated 1
infiltrating 1
inspected 1
inspecting 1
intelligence 1
intended 1
interest 1
into 2
invited 1
invoked 1
istanbul 3
it 7
its 5
itself 1
itsu 1
jack 1
john 1
just 3
keeping 2
kent 4
kidnapping 1
kill 1
killed 1
killer 4
killing 1
know 1
knowing 1
knowledge 1
known 5
laid 1
lair 1
largescale 1
late 3
later 1
launched 1
leader 3
learned 1
leaving 1
left 1
lemurian 1
lightning 2
liner 2
lives 1
local 2
located 1
long 1
lost 1
loyal 1
luxury 1
made 2
maggie 6
main 2
make 1
man 3
managed 1
manipulating 1
mankind 1
masque 1
massive 1
mechanism 1
meeting 4
member 2
members 2
mention 1
military 1
moment 2
monitor 1
montana 1
more 1
mostly 1
much 1
myerson 1
mysterious 1
name 1
named 1
narrowly 1
nation 2
national 2
nature 1
nazi 1
never 1
new 1
news 1
nocturnal 1
normandie 1
not 2
noted 1
nothing 1
nsa 2
nsc 2
number 3
ocean 1
of 40
officials 1
olympian 1
omega 1
ominous 1
on 7
once 1
one 2
only 4
opened 1
opera 2
or 1
organization 2
originally 1
others 1
otherwise 1
out 3
outbreak 1
outside 1
over 3
overheard 1
palm 1
palms 1
pave 1
pawn 2
payoff 1
perceived 1
performed 1
performer 1
perpetually 1
plot 1
plying 1
portal 1
portending 1
possession 1
possible 1
potential 1
power 1
preceded 1
predated 1
presence 1
prevented 1
principles 1
prior 1
probably 1
process 1
projection 1
puppet 1
pursuit 1
rail 1
raised 1
rat 1
reach 1
reached 1
realized 1
received 1
relocate 1
renegade 1
report 1
republic 1
resources 1
response 2
responsibility 2
retracing 1
reveal 1
revealed 2
right 1
rise 1
robert 1
room 1
route 1
routine 1
rumors 1
sailing 1
save 1
scale 1
schicklgruber 1
schmidt 9
scientist 2
secret 5
securing 1
security 2
seeking 1
seen 1
seer 2
seized 1
senior 2
sent 1
separately 1
series 1
service 1
set 1
sharp 1
ship 2
shot 1
shown 1
significance 1
single 1
sinister 1
sink 1
slaughter 1
sophia 1
speakeasy 1
special 3
ss 2
star 1
still 1
stone 2
stop 1
strike 1
strongly 1
struck 1
struggling 1
succeeded 1
successful 1
superiors 1
survivors 1
symbol 1
take 1
technology 1
than 1
that 4
the 120
their 1
there 1
they 4
threat 2
three 1
through 3
thwart 1
time 1
to 38
too 1
took 1
train 1
trained 1
training 1
