33065237
/m/0h54xl3
/m/0h54xl3
Kristin Cast
2011-07-12
22yearold 1
a 27
abord 1
about 4
adult 2
after 1
already 1
also 2
americas 1
an 2
anastasia 13
and 23
apparition 1
appears 1
around 1
as 6
asked 1
asks 1
at 5
attacked 1
attempt 1
back 2
barrier 1
becomes 1
been 1
begins 1
biddle 5
blade 1
bold 1
book 1
brings 1
bryan 8
but 5
by 2
carries 1
changed 1
changes 1
chicago 1
chokes 1
circle 2
claims 1
cocky 1
comes 1
concern 1
consort 1
consults 1
conveys 1
creates 1
creature 3
daughter 1
days 1
defeat 1
disowns 1
docks 1
doesnt 1
doing 1
dragged 1
dragon 6
drawing 1
draws 1
end 1
expresses 1
father 1
fights 1
finds 1
finish 1
first 1
fledgling 3
fledglings 2
for 3
free 1
from 1
front 1
full 1
fully 1
funeral 1
futuristic 1
go 1
goes 1
had 2
hair 1
harassment 1
has 3
he 11
head 1
helps 1
her 8
high 1
him 11
hired 1
his 9
house 2
human 1
in 4
inside 2
inspires 1
instead 1
into 1
involved 1
is 10
it 3
jack 1
jesse 1
kill 2
kills 2
laid 1
last 3
leaving 1
lifts 1
light 1
local 1
locket 2
longer 1
lord 1
love 1
loves 1
make 2
mate 1
materialize 1
meeting 1
meets 1
mercy 2
mocker 1
moment 1
moon 1
move 1
name 1
near 1
nearly 1
neighbour 1
new 1
newly 1
night 3
nineteenyearold 1
no 1
now 1
nyx 2
oath 1
of 13
officer 1
on 3
opens 1
opposite 1
out 1
over 1
pandeia 2
peace 1
perform 2
performs 1
permission 1
place 1
pledges 1
prepares 2
present 1
priestess 1
problem 1
propose 1
proposes 1
pulls 1
pyre 2
rae 1
rape 1
raven 1
really 1
refuses 1
refusing 2
regarding 1
regards 1
rejects 1
reminisces 1
rephaim 1
represents 1
result 1
return 1
revealed 1
rituals 1
salt 1
scandal 1
sculpted 1
self 1
sends 1
sets 1
she 9
ship 1
should 1
show 1
shown 1
sits 1
so 1
some 1
son 1
spell 8
spells 1
starts 2
stevie 1
still 1
strength 1
sunflowers 1
swordmaster 1
take 1
takes 1
talking 1
teacher 1
tells 1
temper 2
that 5
the 25
them 2
then 1
they 1
think 1
thinking 1
third 1
this 2
time 1
to 16
tracker 1
truth 1
up 1
vampyre 2
vision 1
warrior 2
what 1
when 2
which 1
while 2
who 6
wind 1
wish 1
with 8
young 1
