2399516
/m/079d16
/m/079d16
Walter Scott
1816
{"/m/0hwxm": "Historical novel"}
a 18
accept 1
accompanied 1
acquired 1
adherents 1
adversity 1
affairs 1
affront 1
after 1
afterwards 2
agreed 1
ailments 1
all 2
allowance 1
altar 1
ample 1
an 3
and 26
another 1
appeared 1
approaching 1
armstrong 1
army 1
as 11
assembling 1
assistance 1
assisted 1
at 7
attack 1
avenge 1
back 1
bag 1
baronet 1
be 3
became 1
been 3
before 1
begone 1
behalf 1
being 4
bid 1
bonfire 1
border 1
bride 1
bring 1
brought 2
but 3
by 6
care 1
carried 1
castle 1
cattle 3
ceremony 1
chapel 1
circumstances 2
collecting 1
commencing 1
commissariat 1
commission 1
companions 1
completed 1
confirmed 1
confront 1
consented 1
constructing 1
consult 1
continent 1
conversation 1
daughter 1
dawn 1
day 3
daylight 1
decided 1
declined 1
despatched 1
disappeared 1
discomfiture 1
dispersed 1
dispersing 1
dissipated 1
dog 1
door 1
dwarf 5
dwelling 2
earned 1
earnscliff 6
edward 1
ellieslaw 2
elliot 4
ellislaw 1
elshender 1
elshie 3
english 1
escorted 1
evident 1
executed 1
far 1
farm 2
father 4
female 1
few 1
figure 1
finding 1
fired 1
food 1
foot 1
for 6
forbear 1
force 2
forfeited 1
fortunes 1
found 1
frederick 4
friends 2
from 5
gathering 1
gave 1
given 2
goats 1
gold 1
grace 4
graeme 3
grief 1
had 15
hall 1
hand 2
handed 1
having 3
he 17
heard 1
hearing 1
her 17
him 8
his 20
hobbie 6
home 1
homestead 1
homewards 1
hopes 1
hour 1
however 1
human 1
hut 1
if 1
implied 1
impression 1
in 11
injunctions 1
insisted 2
intended 1
interfering 1
intervened 1
intimated 1
invited 1
isabel 6
it 3
its 1
jacobite 1
just 1
justified 1
killed 2
known 1
laird 1
langley 2
large 2
legends 1
letter 1
life 1
lost 1
loved 1
lover 2
make 1
managed 1
mareschal 1
marlborough 1
marriage 1
marry 1
meeting 1
midnight 1
money 2
moon 1
moor 1
morning 1
mother 1
motives 1
mr 6
must 1
name 1
necessaries 1
neighbourhood 1
neighbours 2
next 2
night 1
nightfall 1
occupants 1
of 19
off 2
offender 1
offered 1
offers 1
on 9
one 1
order 1
other 1
over 1
overcome 1
overtaken 1
party 1
pass 1
patrick 2
persuaded 1
place 1
placing 1
power 1
preparing 1
prescribed 1
preston 1
pretender 1
prisoner 1
proceed 1
produced 1
promised 1
property 1
proved 1
providing 1
quarrel 1
ralph 1
rank 1
ratcliffe 3
reaching 1
real 1
rebels 1
received 1
recluse 1
redeem 1
refused 2
release 1
repair 1
representation 1
restraint 1
retired 1
retribution 1
returned 1
returning 2
revealed 2
richard 1
rival 1
rode 1
rose 1
ruffians 1
same 2
search 1
seek 1
seemed 2
seized 1
services 1
settled 1
she 4
short 1
shortly 1
should 2
signal 1
sir 5
some 2
spoken 1
sport 1
started 1
stones 1
strange 1
strict 1
stronger 1
stronghold 1
suddenly 1
suggested 1
sup 1
supernatural 1
supplied 1
supported 1
suspicion 1
sweetheart 1
swore 1
take 1
that 12
the 40
their 5
them 2
then 1
there 1
they 4
thinking 1
this 1
thus 1
time 2
to 21
token 1
told 1
tomb 1
tracked 1
turret 1
two 1
under 5
uninjured 1
up 1
use 1
uttered 1
vere 6
version 1
visited 1
visitors 1
voice 1
walking 1
warned 1
was 9
waved 1
way 1
well 2
went 1
were 2
west 1
westburnflat 3
when 1
whereas 1
which 9
while 2
who 5
whom 1
whose 3
wild 1
willie 2
with 9
womenfolks 1
word 2
would 2
wouldbe 1
years 1
young 1
