6192564
/m/0fw22r
/m/0fw22r
Louis Cha
1959
{"/m/08322": "Wuxia"}
1 1
15th 1
1780 1
45th 1
a 17
about 1
admire 1
after 1
ago 1
ai 1
all 1
allies 1
also 1
an 4
and 12
any 1
appearance 1
april 1
are 5
artists 1
as 3
at 3
attack 1
avenge 1
away 2
back 1
baoshu 1
be 1
became 1
become 1
been 1
begin 1
begins 1
bodyguards 2
both 3
brush 1
but 3
by 5
calendar 2
called 2
century 1
certainly 1
challenges 1
changbai 1
chest 2
china 1
chinese 1
clan 1
classical 1
cliff 2
cliffhanger 1
climactic 1
climax 1
coerced 1
collapse 1
comes 1
concerning 1
conclusion 1
conflict 1
dates 1
daughter 1
day 2
deaths 2
deliberate 1
deliberately 1
descendant 2
descendants 2
developed 1
die 1
discovering 1
doing 1
drive 1
duel 1
duels 1
during 2
dynasty 2
each 3
either 1
embroiled 1
emerges 1
emperor 2
end 1
ends 1
enemy 1
eventually 2
fall 1
families 1
family 2
fan 2
father 1
fatherinlaw 1
fei 9
feud 1
feuds 1
fight 2
fighting 1
flying 2
foe 1
follows 1
for 3
four 3
fox 2
friendship 1
from 4
future 1
gathered 1
generations 1
greed 1
gregorian 1
grew 2
group 1
guards 1
guinong 1
had 1
has 2
he 3
help 1
hesitates 1
highly 1
him 2
his 4
hu 16
ie 1
if 1
imagination 1
in 11
infant 1
intentionally 1
involved 1
is 2
it 2
its 1
jade 1
jianghu 1
kept 1
kill 1
knock 1
known 1
lasted 1
latter 1
leaving 1
led 1
li 1
makes 1
male 1
manor 3
martial 1
massive 1
masterful 1
may 1
miao 12
midway 2
might 1
ming 1
misunderstanding 2
molested 1
monk 1
month 1
mountain 3
mountains 1
must 1
mysterious 1
named 1
names 1
neither 1
northeastern 1
novel 2
of 17
off 1
on 2
one 1
opportunity 1
opposed 1
or 1
origin 1
other 2
others 1
otherwise 2
over 1
overpowered 1
overthrew 1
owing 2
owner 1
parents 1
peak 1
peer 1
people 1
personal 1
ping 1
place 1
point 1
poison 1
precious 1
prevented 1
pugilists 2
punished 1
qianlong 2
qing 1
raised 1
reaches 1
reader 2
reason 1
rebellion 1
refrains 1
reign 2
renfeng 6
reveal 1
rounds 1
ruolan 1
saber 2
schemes 1
scheming 1
secrets 1
several 2
single 1
skilled 1
slayed 1
slaying 1
slowly 1
smeared 1
smuggled 1
snowy 2
so 1
son 1
start 1
stories 1
story 3
stranded 1
sword 1
taking 1
telling 1
that 3
the 49
their 7
them 4
they 3
third 1
this 1
those 1
three 1
tian 4
time 2
to 16
top 1
travel 1
treasure 1
truth 1
tussle 1
uncommon 1
under 3
unearth 1
unintentionally 1
unity 1
unwilling 1
up 1
various 1
vendetta 1
victor 1
villain 1
waiter 1
warlord 1
was 5
weight 1
were 3
when 1
which 3
who 2
wife 1
will 2
with 2
without 1
year 1
yidao 5
zicheng 1
