1810542
/m/05yrtj
/m/05yrtj
Sinclair Lewis
1919
{"/m/02xlf": "Fiction"}
11 1
120 1
18year 1
20th 1
a 5
about 2
accord 1
adventurous 1
aesthetic 1
air 5
along 1
also 1
and 3
are 2
aristocratic 1
around 1
as 2
automobile 2
automobiles 1
basis 1
beats 1
being 1
boardwalk 1
bolster 1
boltwood 2
book 2
build 1
by 2
cant 1
century 2
champions 1
character 1
cheerful 1
chicago 1
city 1
claire 2
class 1
classes 1
composer 1
composition 1
consistent 1
conversely 1
critical 1
cult 1
dagget 1
days 1
democratic 2
displays 1
downtoearth 1
early 1
egalitarian 2
elitists 1
emphasis 1
empire 1
estate 1
eventually 1
every 1
everyman 1
examples 1
falls 1
father 1
favoritism 1
ferde 1
first 1
following 1
for 1
found 1
free 5
freedom 1
from 3
girlfriend 1
gives 1
grofe 1
happen 1
hbo 1
he 1
head 1
her 2
here 1
heroic 1
heroine 1
his 4
hopes 1
in 11
including 1
initially 1
is 3
it 1
jack 1
jimmy 2
kerouac 1
lean 1
lewis 4
like 1
little 1
love 1
man 1
mid20th 1
middle 1
milt 1
more 1
most 2
music 1
nature 1
nearly 1
new 1
nice 1
northwest 1
notably 2
novel 2
novels 1
of 4
old 1
on 1
one 1
other 1
pacific 1
pearl 2
perspective 1
played 1
politics 2
presents 1
prostitute 1
protagonist 1
published 1
railroad 1
railroadmogul 1
reading 1
road 2
role 1
series 1
set 1
she 1
showing 1
sinclair 1
snobbish 1
snobby 1
story 1
stub 1
subject 1
that 1
the 23
this 1
to 3
towards 2
travel 1
travels 1
trip 1
type 1
up 1
upperclass 1
used 1
versus 1
west 1
where 1
which 2
who 1
with 3
working 2
works 1
world 1
would 2
york 1
young 1
