27977725
/m/0ch15dd
/m/0ch15dd


{"/m/01jfsb": "Thriller"}
a 13
about 4
absolute 1
according 1
adolf 2
after 4
again 1
alive 1
all 5
an 2
and 16
are 1
arises 1
aryans 1
as 3
at 2
attack 1
attributes 1
be 3
because 2
been 1
before 1
belong 1
berlin 1
bodies 1
body 1
build 1
building 2
but 2
can 1
cant 1
carrying 1
case 1
ceremony 1
close 1
combine 1
comes 1
confesses 1
confession 1
could 1
couple 1
crevasse 1
cyanide 2
days 1
dead 1
decapitations 1
deepfrozen 3
degrees 1
detective 1
doors 1
during 1
elton 3
enters 1
erwin 1
exactly 1
experienced 1
experts 1
extremely 1
falls 1
father 3
few 2
finds 2
fingerprints 1
fire 1
followed 1
for 2
found 2
from 1
gas 1
gassed 1
get 1
gives 1
giving 1
had 1
hall 2
happened 1
has 1
have 1
having 3
he 8
head 1
heads 1
held 1
helped 1
henri 1
high 1
him 3
hire 1
his 5
hitler 2
holden 3
how 2
in 6
information 1
inside 1
into 1
invented 1
inventions 1
inventors 1
investigation 1
is 4
it 3
kanarack 4
kill 2
killed 3
last 1
later 1
leader 1
low 1
lybarger 5
main 2
making 1
man 1
mcvey 6
meet 1
member 1
memories 1
might 1
mind 1
much 1
murdered 1
murderer 1
murdering 1
nearly 3
nephews 1
new 2
of 9
on 4
one 1
only 1
opens 1
operation 1
or 1
order 1
organization 3
osborn 12
other 1
out 3
over 1
package 1
paris 2
parts 1
passes 1
paul 1
people 2
perfect 1
perishes 1
person 3
physician 1
plans 1
possible 1
raise 1
raised 1
reich 1
remaining 1
remember 1
replays 1
researches 1
right 1
salettl 1
same 2
scalpel 1
scene 2
scholl 3
searching 1
sees 3
set 1
shoots 1
should 2
since 1
so 1
some 1
speech 1
suddenly 1
surgery 3
suspicion 1
switzerland 2
take 1
tape 1
team 1
tells 1
temperatures 1
that 8
thaw 1
the 24
them 1
then 1
they 2
third 2
this 1
through 1
time 2
to 12
tries 1
trying 1
two 1
undergone 1
used 1
van 1
vanished 1
vcr 1
von 2
walking 1
was 4
were 7
what 1
when 2
where 1
which 1
while 1
who 3
whole 1
whose 2
with 3
working 1
year 1
years 1
young 1
zero 1
