7930910
/m/026kgk5
/m/026kgk5
Jack Vance

212 1
4268 1
a 20
able 1
actually 1
adam 1
advanced 1
afram 1
after 1
ago 1
alert 1
alien 1
allows 1
amazed 1
ambush 2
among 1
an 3
anacho 2
and 12
ankhe 1
apparently 1
approaches 1
are 3
armed 1
arranges 1
arrives 1
as 1
at 2
attacked 1
attention 1
attracts 1
away 1
baby 1
back 2
backing 1
band 1
barely 1
battle 1
be 4
beautiful 1
been 4
before 4
belonging 1
blue 5
boychieftain 1
brigands 1
bringing 1
build 1
but 3
by 7
came 1
can 2
captive 2
caravan 3
carina 1
castrated 1
casually 1
cath 1
chagrin 1
charge 2
chasch 11
chaschmen 4
checks 1
chief 1
city 4
clear 1
closer 1
convinces 1
corpses 1
crash 1
dadiche 2
damaged 1
dangerous 1
death 1
deduces 1
defenseless 1
demanding 1
destroys 1
did 1
dirdir 4
dirdirman 2
dirdirmen 1
discovered 1
discovers 1
dismay 1
dispatched 1
distant 1
docile 1
driving 1
duped 1
earth 2
ejecting 1
elected 1
elite 1
emerge 1
enemies 1
entire 1
erupts 1
escapes 2
expected 1
explanation 1
extremely 1
father 1
female 1
find 1
finds 2
first 1
for 2
forcing 1
forest 1
frees 1
from 4
gives 1
go 1
gods 1
goho 1
grave 1
green 2
group 4
gutted 1
had 2
has 2
haul 1
he 15
heal 1
helpless 1
her 4
heretofore 1
hiding 1
him 3
himself 2
his 11
home 1
human 3
humans 4
if 1
implanted 1
important 1
in 9
incurs 1
indicates 1
injured 1
inspection 1
intact 1
intercepts 1
interrupted 1
into 3
investigate 1
investigation 1
is 12
it 4
join 1
joins 1
just 1
kills 1
large 1
later 2
lawless 1
learns 2
life 1
light 1
locator 1
magicians 1
make 2
manages 1
manned 1
massive 1
mature 1
men 2
might 2
mismatched 1
missile 1
mission 1
more 1
mortal 1
mothership 1
must 1
mysterious 2
naga 1
native 1
nearby 1
new 1
no 1
not 2
now 2
nurse 1
of 18
off 1
on 3
one 1
onmale 1
organize 1
originated 1
other 1
out 1
outcast 1
outside 1
overthrow 1
own 1
pale 1
participate 1
party 1
passengers 1
paul 1
people 1
pera 4
phung 1
planet 3
plans 1
possible 1
priestesses 1
primitive 1
prisoner 1
prosper 1
reach 1
refuses 1
reith 16
remains 1
rescues 2
responsible 1
returns 1
revealing 1
revolt 1
rite 1
ruled 1
rundown 1
sacrifice 1
safety 1
scoutboat 5
scouts 2
scurrying 1
second 1
seconds 1
secret 1
send 1
sending 1
servants 1
severely 1
she 1
ship 2
signal 2
since 1
site 1
skyraft 1
small 1
sneaks 1
spotted 1
star 1
starship 1
steppes 1
stolen 1
surrender 1
survivors 1
system 1
take 2
taken 2
taking 2
tall 1
technologically 2
teen 1
tens 1
that 5
the 45
their 7
them 5
then 2
theology 1
they 2
third 1
thousands 1
threat 1
to 24
told 1
town 1
tracks 1
trade 1
transformed 1
traz 3
trek 1
tribe 2
trio 1
tschai 1
two 2
tyrant 1
undetected 1
unknown 1
unwilling 1
waunder 2
wealthy 1
were 3
when 3
whence 1
where 1
which 1
while 1
who 1
win 1
wipe 1
with 5
witnesses 1
woman 1
would 1
wounds 1
wrath 1
wreckage 1
years 2
ylinylan 3
