6394687
/m/0g3sjg
/m/0g3sjg
Kevin Henkes
2003
{"/m/0dwly": "Children's literature"}
a 8
able 1
about 3
accompanying 1
admired 1
after 2
age 1
aging 1
all 2
also 1
always 1
an 1
and 11
as 2
asks 1
at 2
atlantic 1
away 1
bag 1
be 6
been 1
before 3
begins 1
bet 1
book 1
both 2
boys 2
brother 2
careful 1
common 1
containing 1
crush 1
day 1
develops 1
did 1
didnt 1
died 1
dream 1
dries 1
each 1
elle 1
even 1
every 2
family 1
fanning 1
felt 1
fills 1
film 1
finally 1
find 2
for 5
forgotten 1
friends 1
from 4
front 1
fulfill 1
gets 2
give 2
go 1
godbee 5
goes 2
goodbye 1
grandma 1
grandmother 1
grounds 1
had 3
hands 1
has 1
he 4
heartbroken 1
help 1
her 14
him 1
his 2
home 3
hopes 1
house 1
hung 1
in 8
interested 1
into 1
is 9
it 3
jar 1
jimmy 6
join 1
journal 3
kissed 1
kissing 1
know 1
learns 1
leaves 1
leaving 1
left 1
letter 1
likes 2
living 1
long 1
love 2
loving 1
made 1
making 1
manning 2
many 1
martha 19
mind 1
mom 1
more 1
mother 4
motion 1
moved 1
nearby 1
never 1
next 1
nice 1
not 1
note 1
ocean 7
of 5
older 1
olive 15
olives 1
on 3
one 1
only 2
or 2
order 1
oregeon 1
other 2
out 2
outraged 1
page 3
picture 1
place 1
read 1
received 2
receiving 1
regret 1
returns 1
right 1
runs 1
said 1
same 1
say 1
says 1
scene 1
school 1
secret 1
secretly 1
see 1
she 14
shoots 1
spend 1
starring 1
stays 1
step 1
stops 1
summer 2
sun 1
taking 1
talked 1
tape 1
tate 2
tell 1
tells 2
that 5
the 16
their 1
them 3
then 1
there 1
they 1
this 1
though 2
time 3
to 24
until 2
up 1
video 3
vince 1
visit 1
want 1
wanted 1
wants 1
was 1
washington 1
water 4
well 1
when 1
where 1
while 1
who 4
will 3
win 1
wisconsin 3
with 6
word 1
would 1
writer 1
writes 1
younger 1
