7274737
/m/025xydb
/m/025xydb
Philippa Gregory
2004
{"/m/05hgj": "Novel"}
16th 1
1th 1
a 25
about 3
accept 2
accepts 1
accordingly 1
admits 1
after 3
again 2
against 1
agreed 1
agrees 1
also 1
among 1
amused 1
amy 1
an 3
ancestors 1
and 41
angel 1
annoyed 1
another 1
answer 1
anything 1
are 2
argument 1
arrested 1
arrive 1
arriving 1
as 8
asked 1
asking 1
asks 3
at 2
baby 3
back 1
be 4
becomes 1
before 1
begging 1
begins 1
begs 1
behaving 1
behind 2
being 1
benjamin 1
betrothed 1
better 1
birthday 1
book 1
books 1
bookshop 1
boy 1
bring 1
british 1
brother 1
burnt 1
but 10
by 6
calais 7
calling 1
cannot 1
carpenter 2
century 1
changes 1
charges 1
claiming 1
clerk 1
colleague 1
collect 2
come 2
concerned 1
confronts 1
court 4
crown 1
crowned 1
daniel 23
day 1
deal 1
death 1
declare 1
declares 1
declaring 1
dee 3
delivers 1
denies 1
desires 1
dies 1
disappointed 1
discovers 1
dismissing 1
disraeli 2
distant 1
doesnt 2
dresses 1
dressing 1
dropped 1
dudley 6
duke 2
during 1
edward 4
elizabeth 6
else 1
england 7
english 1
entertaining 1
enthusiastic 1
errands 2
escaping 1
eventually 1
everything 1
executed 1
experienced 1
faith 1
falls 1
family 7
father 12
feeling 1
feelings 1
feels 1
few 1
figure 1
find 1
flee 1
flees 1
fleet 1
flirting 1
fool 2
for 9
forbids 1
forgive 1
forthcoming 1
french 3
friend 1
friends 1
from 3
furious 1
gates 1
gentile 1
get 1
gets 1
gift 2
go 2
going 1
gossip 1
green 1
grey 1
guilford 1
hannah 37
has 4
have 1
having 2
he 4
hear 1
hearing 1
heartbroken 1
heaven 1
heir 1
her 39
heresy 1
him 6
hinting 1
hiring 1
his 10
historical 1
holy 1
household 2
how 3
husband 3
if 2
illegitimate 1
importance 1
in 9
inherits 1
initially 1
inquisition 2
insist 2
insists 1
instead 1
instructed 1
intended 1
into 1
is 20
it 6
jane 1
jester 2
jewish 2
john 4
join 1
joins 1
journey 1
just 1
keep 1
killed 1
king 6
kiss 1
lady 3
late 1
later 3
learns 1
leave 1
leaves 1
leaving 1
left 1
letter 1
life 4
like 1
live 2
living 1
lodger 1
london 2
longer 1
lord 6
love 4
luckily 1
making 1
marriage 1
marry 5
mary 11
meanwhile 1
meets 1
member 1
might 1
mind 1
minister 1
mistress 2
months 1
more 1
mother 3
motherinlaw 2
move 1
name 1
never 1
night 1
nineyearold 1
no 1
northumberland 1
nurse 1
of 17
old 1
older 1
on 11
one 2
opening 1
or 1
origin 1
out 1
over 2
overjoyed 1
own 2
performing 2
philip 3
plans 2
previously 1
prime 1
prince 3
princess 3
printing 1
prisoners 1
promises 1
promising 1
protect 1
protection 1
put 1
queen 6
questioning 1
ransomed 1
real 1
realise 1
realises 1
realising 1
realizes 1
receiving 1
refuses 1
released 2
religion 1
replies 1
requested 1
returns 3
reunite 1
robert 8
romantic 1
rule 1
ruled 1
run 2
runs 1
sad 1
safe 1
sail 1
scaffold 1
sealing 1
see 2
seeing 2
seems 1
seen 1
sees 3
sends 1
servants 1
service 1
seymour 2
she 27
shop 3
side 1
sight 1
signs 1
simple 1
simply 1
sisters 1
slips 1
so 1
soldier 1
someone 1
sommers 1
son 7
spain 2
spy 1
stake 1
start 1
starts 2
staying 1
stepson 1
story 1
street 1
struggles 1
supporter 1
surprised 1
suspect 1
take 1
taken 1
takes 1
taking 1
tasks 1
teaches 1
telling 1
tells 5
than 1
that 14
the 37
their 5
theirs 1
them 6
there 1
they 6
thomas 1
though 1
throne 1
thus 1
to 35
together 1
too 1
tower 2
treating 1
true 1
tutor 1
under 2
unfortunately 1
unravel 1
unsure 1
until 2
unwilling 1
uriel 1
use 1
vassal 1
vi 1
visit 1
walking 1
want 1
was 3
way 1
week 1
welcomed 1
what 1
when 10
while 1
whilst 1
who 3
why 1
wife 2
will 5
with 11
within 2
woman 4
wont 1
wornout 1
worries 1
year 2
