6433978
/m/0g569b
/m/0g569b
Donald Hamilton
1972
{"/m/06wkf": "Spy fiction"}
a 2
also 1
and 2
arthur 1
as 1
authority 1
because 1
book 2
borden 1
bring 1
direct 1
down 1
elements 1
enemy 1
fighting 1
first 2
focus 1
followup 1
for 1
from 1
full 1
government 1
helm 3
in 2
instead 1
is 5
it 1
mac 3
man 1
matt 1
mcgillivray 1
name 1
names 1
novel 1
of 2
on 1
own 1
particular 1
poisoners 1
rather 1
revealed 1
series 1
storyline 1
superior 1
terrorists 1
the 5
their 1
this 2
threatening 1
time 1
to 3
together 1
uncharacteristic 1
unfriendly 1
who 1
whose 1
within 1
work 1
