2983701
/m/08hp3q
/m/08hp3q
Myla Goldberg
2000-05-25
a 18
aaron 4
able 1
about 2
abraham 1
abulafia 2
achieve 1
actually 1
admitted 1
age 1
allowed 1
almost 1
always 1
ambitions 1
an 1
anchor 1
and 14
announces 1
apart 1
apparently 1
are 1
arrested 1
as 1
at 3
attempts 1
be 1
become 1
becomes 4
bee 7
begins 2
begun 1
believing 1
beyond 1
brother 1
buddhism 1
but 5
by 2
cannot 1
cantor 1
chance 1
christianity 1
class 2
clear 1
closed 1
come 1
concept 1
consciousness 1
convinced 1
day 2
deliberately 1
department 1
devotee 1
discovered 1
discovers 1
disillusioned 1
district 1
divine 1
door 1
drugs 1
eight 1
elevenyearold 1
eliza 7
elsewhere 1
empty 1
encounter 1
entering 1
enthusiastic 1
experience 2
fact 1
failed 1
faith 1
family 5
far 1
father 4
finds 3
first 4
fixing 1
focus 1
following 2
for 6
formed 1
from 3
gifted 2
go 1
god 1
gradually 1
greater 1
guilty 1
guitar 1
had 2
has 6
having 1
he 4
hebrew 1
help 1
her 14
herself 4
him 1
himself 1
his 8
home 1
hospital 1
houses 2
in 4
increasingly 1
influx 1
insanity 1
intention 1
international 1
into 3
introduces 1
invited 1
involved 1
is 13
iskcon 1
it 2
items 1
jewish 1
join 1
judaism 1
kabbalist 1
keen 1
kleptomaniac 1
knowledge 1
krishna 1
lawyer 1
lead 1
leave 1
lives 1
local 1
look 1
medieval 1
member 1
members 1
miriam 4
misspells 1
mother 1
mysticism 1
national 2
naumann 1
new 1
night 1
not 1
objects 1
obsession 1
obsessive 1
of 15
olam 1
on 2
one 1
only 1
ordinary 1
other 1
own 1
park 1
parts 1
people 2
performed 1
personality 1
plane 1
plays 1
pleads 1
potential 1
practice 1
preoccupied 1
prepare 1
prepares 1
progresses 1
propensity 1
psychiatric 1
pull 1
reach 1
read 1
reading 1
real 1
reason 1
recite 1
religious 1
resist 1
saul 6
school 1
separated 1
several 1
sex 1
sharp 1
she 8
shefa 2
shows 1
small 3
society 1
soulless 1
spelling 4
spends 1
stealing 2
stores 1
student 2
study 3
success 1
successful 1
surprises 1
synagogue 1
takes 1
talent 1
terrifying 1
texts 1
than 1
that 4
the 31
them 1
then 4
they 1
though 1
through 5
tikkun 1
time 2
times 1
to 20
told 1
torn 1
tried 1
tries 1
troubled 1
turn 1
ultimately 1
unaware 1
unknown 1
was 1
well 1
when 2
where 1
which 2
who 6
win 1
winglight 1
winning 2
with 6
without 1
word 1
world 2
writer 1
writings 1
year 1
