8626985
/m/027bkry
/m/027bkry
Manuel Puig

142 1
143 1
175 2
8 1
a 35
ability 1
about 3
acts 1
actual 1
actually 1
after 2
agents 1
aid 1
aires 1
alienation 1
also 1
american 1
an 6
and 15
anesthetic 1
appearances 1
are 1
arms 1
arregui 1
aryan 1
as 1
at 1
away 4
based 4
be 1
because 1
become 1
becomes 1
been 1
befriend 1
being 2
believed 1
beloved 1
between 3
bond 1
boss 1
both 2
briefly 1
brings 1
brutal 1
buenos 1
but 3
by 8
called 2
can 1
cars 1
cat 1
cell 3
changes 1
character 1
charms 1
choice 1
chooses 1
clear 1
comes 1
composite 1
comrades 1
concerns 1
consciousness 2
cooperation 2
cops 1
corruption 1
damaging 1
day 1
despite 1
dies 5
disengage 1
doctor 4
does 1
during 1
dying 1
each 1
effeminate 1
end 5
ending 1
ends 4
estimated 1
every 1
ex 1
extract 1
fall 1
falls 2
father 3
fifth 1
film 8
films 2
find 3
finds 3
finish 1
first 2
followed 1
following 1
for 6
forced 1
forget 1
form 1
fourth 1
french 2
from 5
general 1
get 1
gets 2
given 1
goes 1
government 2
group 4
guerrillas 2
happens 1
has 5
have 1
he 13
her 3
here 1
herself 1
him 6
himself 1
his 15
homosexual 1
hopes 1
however 1
husband 1
i 1
ill 1
imagines 1
important 1
in 22
inability 1
information 1
intimate 1
into 3
is 26
island 3
it 7
its 1
jacques 1
jail 2
keeping 1
kid 3
kidnapped 1
killed 1
kindness 1
know 2
least 1
leave 1
leaves 1
left 1
little 1
location 1
long 2
lost 1
love 5
lovers 1
loves 1
luis 1
mafia 1
main 1
make 1
making 1
man 3
marries 1
marta 2
meets 1
men 1
message 1
middle 1
minor 1
molina 13
mother 1
movie 2
multiple 1
narration 1
narrative 1
nazi 4
newspaper 2
no 1
noble 1
not 1
note 1
novel 3
october 1
of 18
officer 1
officials 1
old 1
older 2
on 6
one 1
openly 1
opens 1
opposites 1
or 2
order 1
organization 1
original 1
other 1
out 4
outside 2
overthrow 1
own 1
paris 1
parolled 1
part 1
past 1
penchant 1
people 2
piece 1
place 1
police 2
political 1
potentially 1
prison 1
prisoner 1
prisoners 1
profound 1
progresses 1
propaganda 2
prostitutes 1
provisions 1
racing 1
reader 2
reason 1
recounted 1
recounting 2
recounts 2
rejected 1
relationship 1
reports 1
resistance 1
revolutionary 3
rich 1
romance 1
run 1
running 1
sailing 2
sails 1
save 1
second 1
secretary 1
seduced 1
see 1
seemingly 1
seen 1
sent 1
september 1
share 1
she 2
shootout 3
shot 1
similar 2
situation 1
society 1
some 2
spy 1
staying 1
stops 1
story 10
stream 2
struck 1
subplot 1
sultry 2
superficial 1
sympathizes 1
symptom 1
take 1
takes 1
telling 1
tells 1
that 14
the 58
their 3
them 2
then 1
they 2
third 1
this 1
through 2
thus 1
timeframe 1
to 24
together 1
too 1
torneur 1
torture 1
toward 1
try 1
trying 2
turn 1
turned 1
two 3
ultimately 1
unclear 1
underground 1
unlike 1
up 5
valentin 10
valentn 2
various 1
very 2
visit 1
walked 1
warden 1
was 1
way 3
ways 1
we 2
what 1
when 2
whether 1
which 4
while 1
who 2
wife 3
windowdresser 1
witch 3
with 12
woman 6
work 1
world 1
young 1
zombie 2
zombies 1
