2072939
/m/06k84q
/m/06k84q
Iain Banks
1993
{"/m/05hgj": "Novel"}
a 6
about 2
adaptation 1
addictions 1
adventurous 1
aftermath 1
alcohol 1
also 1
amounts 1
amphetamine 1
an 2
and 6
anonymous 1
are 1
at 2
awful 1
back 1
be 1
before 1
better 1
bizarre 1
book 1
britain 1
by 2
calls 1
cancer 1
cannabis 1
capitalist 1
certain 1
cigarettes 1
colley 3
comes 1
computer 1
conventional 1
copious 1
covers 1
criminals 1
death 1
deaths 2
deployment 1
description 1
detailed 1
diagnosed 1
domestic 1
done 1
doubly 1
downbeat 1
drinks 1
edinburgh 1
editorial 1
end 1
ending 1
experience 1
fairly 1
figures 1
film 1
finds 1
first 1
foreign 1
games 1
give 1
gonzo 1
gulf 1
habit 1
halfheartedly 1
has 3
hatefigures 1
haunt 1
he 9
highway 1
him 1
himself 1
his 4
hms 1
in 6
ingeniously 1
involved 1
is 5
it 2
journalist 1
killer 1
killing 1
leaders 1
list 1
living 1
lung 1
manner 1
married 1
massacre 1
misdemeanours 1
missile 1
murders 2
mysterious 2
named 1
nuclear 1
occasionally 1
of 10
off 1
omitted 1
on 2
one 2
ones 1
or 1
own 1
people 1
phone 1
plays 1
police 1
public 1
receives 1
reflects 1
regrets 1
revealed 1
rightwing 1
sadistic 1
scoop 1
seems 1
series 1
sex 1
smokes 1
someone 1
submarine 1
suddenly 1
suggested 1
suspicion 1
than 1
that 1
the 15
them 1
thinks 1
to 3
trident 1
tries 1
under 1
up 1
vanguard 1
war 1
when 3
which 1
with 3
witnessing 1
woman 1
worry 1
would 1
wrote 1
years 1
yvonne 1
