16979393
/m/04147wd
/m/04147wd
Jack Bechdolt
1948
3010 1
a 2
after 1
against 1
an 2
and 2
army 1
atomic 1
be 1
burns 1
by 2
captain 1
captive 1
captors 1
city 1
disaster 1
former 1
fortune 3
free 1
hand 1
hands 1
he 1
his 2
in 5
iron 1
is 4
island 1
leads 1
learns 1
live 1
masters 1
new 1
novel 1
of 7
people 2
prophecy 1
redeemed 1
remaining 1
revolt 1
ruins 1
rule 1
set 1
skyscrapers 1
states 1
statue 2
taken 1
that 2
the 15
them 1
there 1
those 1
torch 1
towermen 1
when 1
who 1
will 1
with 1
year 1
york 1
