21196005
/m/05c29pc
/m/05c29pc
Wilkie Collins
1881
a 7
abbey 1
about 1
accidentally 1
acknowledges 1
additionally 1
after 2
all 1
an 5
and 5
are 1
argument 1
arthur 1
as 3
assisting 1
attempt 2
attends 1
aunt 1
awful 1
back 1
becomes 2
before 1
begins 1
benwell 4
bigamous 1
bologne 1
bring 1
brings 1
brother 2
but 1
by 1
called 1
card 1
catholic 2
causes 1
challenges 1
child 1
church 3
come 1
confides 1
confirm 1
convert 1
convinced 1
cries 1
culminating 1
death 2
deathbed 1
decides 1
despite 1
destroyed 1
determines 1
dies 1
done 1
duel 2
dying 2
ecclesiastical 1
employing 1
employs 1
end 1
enquire 1
ensure 1
entire 1
even 1
eventually 1
eyrecourt 1
falls 1
family 5
father 3
finally 3
foiling 1
follow 1
for 3
frenchman 1
friend 3
game 1
has 2
haunt 1
haunted 1
he 10
him 3
his 12
home 3
hopes 1
however 1
hynd 2
in 9
inheritanceto 1
inherits 1
is 6
it 1
killed 1
kills 1
knowing 1
lawyer 1
leader 1
leaves 1
life 1
london 1
lord 1
loring 1
lorings 1
love 1
loves 1
major 2
man 2
marriage 2
meets 1
monetarily 1
motives 1
named 1
of 8
old 1
opponent 2
own 1
owned 1
paris 1
pass 1
patriarch 1
penrose 2
plans 1
post 1
presumed 1
priest 2
promoted 1
rest 1
returns 1
romayne 16
screams 1
see 1
sends 1
serves 1
services 1
son 1
spiritual 1
stella 3
still 1
story 1
tactics 1
that 2
the 19
them 1
there 2
this 3
to 19
trting 1
true 1
ulterior 1
undermine 1
untimely 1
validity 1
vange 3
vangeand 1
various 1
visit 2
wellheeled 1
where 1
while 2
who 8
wife 2
will 3
with 2
yorkshire 1
young 1
younger 1
