14173634
/m/03cwv9v
/m/03cwv9v
Alistair MacLean
1959
a 2
ability 1
advantages 1
against 2
agent 1
an 2
and 9
any 1
are 1
at 1
back 1
before 1
betrayals 1
biggest 1
bond 1
border 1
british 2
but 1
by 2
captured 1
chance 1
cold 1
commonsense 1
communist 1
count 1
cruel 1
decisions 1
does 1
efficient 1
elderly 1
england 1
escape 1
fancy 1
friend 1
friends 1
gadgets 1
government 1
has 2
have 1
he 3
height 1
held 1
help 1
heroic 1
highly 1
his 3
hooks 1
hungarian 3
hungary 1
in 2
inside 1
is 5
james 1
jansci 1
jennings 2
killed 1
maclean 2
make 1
michael 1
mission 1
must 1
mysterious 1
no 1
not 1
of 2
on 1
one 1
only 1
onthespot 1
over 1
plot 1
police 1
professor 2
protagonist 1
realizes 1
rescue 1
resourceful 1
reynolds 5
scientist 1
secret 3
service 1
specialized 1
strive 1
that 1
the 13
they 1
to 4
transport 1
turns 1
twists 1
underground 1
up 1
war 1
which 1
who 1
will 1
wintertime 1
with 2
