10197451
/m/02q4x8n
/m/02q4x8n
Steve Berry
2007
148 1
72 1
a 12
about 4
accessible 1
according 1
actually 1
after 1
against 1
agent 1
agents 1
alexandria 4
alfred 1
all 1
an 4
ancient 1
and 18
anonymous 1
answers 1
anticipated 1
apparently 1
appears 1
arab 1
arabs 1
are 1
arrive 1
as 1
assembled 1
associate 1
at 1
attached 1
attend 1
attorney 1
austria 1
austrian 1
aware 1
be 2
been 3
before 2
being 2
biblical 1
billet 1
blue 2
book 1
boss 2
breach 1
brent 2
building 1
but 2
buy 1
by 3
called 1
captors 1
captured 1
cartel 1
cassiopeia 1
chair 2
chairs 3
circle 2
citizen 1
collection 1
computer 1
conduit 1
contact 1
contacts 2
contained 1
controls 1
copenhagen 1
cotton 1
current 1
currently 1
daley 1
dart 1
day 1
decides 1
decoding 1
delivers 1
denmark 1
department 1
different 1
dixon 1
does 1
dominick 1
durant 1
during 1
east 1
economic 1
email 1
employer 1
enemies 1
enemy 1
established 1
europe 1
european 1
eventually 1
ever 2
everything 1
exchange 1
explaining 1
exposed 1
exwife 1
fact 1
father 1
fighting 1
files 1
find 1
finishes 1
fleece 2
flies 1
following 1
follows 1
for 7
former 1
friend 1
from 3
game 1
gary 4
general 1
george 2
get 2
gets 1
goes 1
golden 2
green 3
had 1
haddad 7
half 1
has 5
have 2
he 14
head 2
heather 1
hebrew 1
held 1
helps 1
henrik 2
her 4
hermann 2
hidden 1
highest 1
him 3
his 8
hoping 1
hostage 1
hours 1
house 1
how 2
hundred 1
important 1
in 9
inaccuracies 1
independence 1
industrialist 1
influential 1
information 2
interests 1
is 16
israel 3
israeli 2
it 6
just 1
justice 1
keep 1
keeps 1
kill 2
killed 1
killer 1
killing 1
knowledge 1
knows 1
larry 1
later 1
leader 1
learn 3
learns 1
library 2
link 5
literary 1
living 1
log 1
london 1
looking 1
lot 1
magellan 1
main 1
malone 10
man 4
mansion 2
manuscripts 1
many 1
may 1
meet 1
meeting 1
meets 4
mentions 2
message 1
middle 1
might 1
million 1
misinformed 1
mission 1
more 6
most 1
mysterious 3
mystery 1
named 1
nelle 1
no 1
not 1
obliterated 1
of 17
old 2
on 1
only 2
order 2
over 1
palestine 1
palestinian 1
pam 5
person 2
plan 1
playing 1
present 1
priority 1
probable 1
psychological 1
realize 1
receives 1
recreation 1
rescues 1
reveals 2
sabre 4
safe 1
saying 1
says 1
secret 1
secure 1
secured 1
security 1
server 1
share 1
she 1
shoot 1
show 1
situation 1
six 1
soldier 1
soldiers 1
some 5
son 1
start 1
starts 1
state 1
stephanie 5
stood 1
suddenly 1
surprised 1
taken 1
tells 1
testament 1
than 2
that 12
the 40
their 1
them 5
then 1
there 1
they 1
this 6
thorvaldsen 5
thus 1
time 1
to 27
trace 1
trade 2
tranquilizes 1
translated 1
translation 1
treasure 1
tries 2
trouble 1
truth 1
unable 1
unearthed 1
unknown 1
unnecessary 1
us 1
used 1
uses 1
vanished 1
visit 1
vitt 1
want 2
wants 1
war 2
was 5
washington 1
way 1
what 1
when 1
whereabouts 1
which 1
while 1
white 1
who 7
whom 1
will 1
with 6
wordplay 1
work 1
working 1
works 1
years 1
