25561064
/m/09rwv5k
/m/09rwv5k
Albert Payson Terhune
1922
{"/m/03mfnf": "Young adult literature"}
12yearold 1
16 1
a 52
abandons 1
able 1
accidentally 4
activity 1
adult 1
after 4
afterward 1
age 2
aging 1
agony 1
aid 1
aimed 1
all 1
allow 1
allowed 1
always 1
an 3
and 50
animals 1
annual 1
another 1
answer 1
are 8
argues 1
around 1
arrested 1
arrive 1
arrives 2
as 8
assist 1
at 9
attack 4
attacks 2
awakened 1
away 2
baby 3
back 4
badly 2
bag 3
bald 1
barn 1
basket 2
battle 1
battles 1
be 6
bear 3
beat 1
beauville 1
become 1
becomes 3
been 1
before 1
befriends 1
beg 1
begins 1
behavior 1
being 3
believe 1
belonging 1
beloved 1
beside 2
best 1
between 1
bite 1
blamed 1
blistering 1
blunt 1
boat 2
bobcat 1
body 1
boss 1
both 4
boy 2
break 1
bringing 1
brings 1
bruce 1
brutally 1
bullies 1
burglar 1
burned 1
burning 1
but 11
buy 1
by 14
calls 1
came 1
camp 1
camping 1
car 5
carrying 1
cars 1
catch 2
catches 1
catskills 1
caught 1
champion 1
change 1
changed 1
charges 1
chased 1
chases 1
chasing 1
chews 1
child 1
citizens 1
cliff 1
climbs 1
closes 1
club 1
coals 1
coat 3
coats 1
collie 2
comes 3
coming 1
companion 1
company 1
compete 1
constable 1
couple 1
couples 1
courage 1
cranky 1
crime 1
crowd 2
crying 1
cured 1
cyril 2
danger 1
day 2
decide 1
deliberately 1
desperately 1
destroyed 1
destroying 1
did 1
died 1
directly 1
discovered 1
disgruntled 1
ditch 1
dog 11
dogs 4
done 1
door 2
down 2
drive 1
driven 2
driver 2
dropping 1
drowning 1
during 3
dye 1
dyes 1
eagle 1
earlier 2
ears 1
easily 3
effusively 1
eight 1
elevenyearold 1
embarrass 1
employee 1
end 2
ends 1
endures 1
escape 1
escapes 2
eventually 2
execute 1
expelled 1
expensive 1
explains 1
fall 1
falls 2
fangs 1
father 6
fear 1
feelings 1
female 1
fetish 1
fifteenweek 1
fight 2
fights 1
find 2
finds 3
finished 1
fire 3
first 1
flashes 1
flat 1
fleeing 1
follows 2
food 1
for 15
forces 1
forest 3
forgives 1
former 1
fought 1
found 1
free 2
frequently 1
friendly 1
friends 2
from 13
full 1
fur 1
game 1
garden 1
generally 1
get 1
gets 1
gifts 1
girl 2
gives 1
go 2
goes 3
gotten 1
grass 1
grateful 1
greets 1
grieves 1
grows 1
guard 2
had 4
has 2
have 1
having 1
he 28
heavy 1
her 24
herd 1
herostuff 1
hidden 1
hiding 1
high 2
him 17
himself 2
his 23
holding 1
holiday 1
home 5
horrible 1
hospital 1
house 5
household 1
however 2
howl 1
howls 1
hurt 2
if 1
imagines 1
in 23
incident 1
including 1
injured 1
inside 1
instead 2
intelligent 1
into 3
intruders 1
is 22
it 5
items 1
its 3
join 2
joining 1
juggernaut 1
jump 1
jumping 1
jumps 1
just 1
keep 1
keeps 1
kennel 1
kicking 1
kidnapped 1
kidnappers 3
kill 2
killed 2
killer 1
killing 1
kin 1
king 2
knew 1
knocked 1
knocking 1
lace 1
lad 48
lady 7
lake 3
landing 1
large 1
later 2
lead 1
leading 2
learn 1
leaving 1
ledge 2
left 2
lie 1
lies 1
like 2
little 1
local 1
locations 1
lochaber 2
locks 1
longer 2
looks 1
loot 1
loses 1
lost 1
lot 1
making 1
man 7
master 16
mate 3
men 2
missing 1
mistreats 1
mistress 13
monkey 1
months 2
moping 1
more 2
mountains 1
mounted 1
named 2
nasty 2
nearby 2
neighbor 2
new 2
next 2
night 4
no 6
not 6
notion 1
now 2
of 13
off 8
officer 2
old 3
older 2
on 9
one 4
only 3
ordering 1
other 5
out 2
over 2
overturns 1
owner 1
owners 4
parasol 1
parents 1
park 3
party 1
past 1
path 1
paws 2
penchant 1
people 2
pet 2
pets 1
picnic 1
pig 1
place 7
places 1
plain 1
play 2
playfully 1
playing 1
plays 1
plots 1
police 1
praise 1
praised 2
pranks 1
present 1
property 1
protector 1
protects 1
punishment 1
puppy 2
purchase 1
purebred 1
quell 1
quickly 4
quit 1
rabid 4
rage 1
ranged 1
realizes 1
really 1
receive 1
recognizes 1
red 1
referred 1
refuses 1
rescue 2
residential 1
results 1
retreat 1
return 1
returned 2
returning 1
returns 3
ride 1
road 2
roadkill 1
robs 1
romp 1
room 1
rope 1
rough 1
ruined 1
rules 1
run 1
runs 4
rushes 1
save 1
saves 1
saw 1
scaring 1
scent 1
scolds 1
searching 1
sees 1
senses 1
sensitive 1
set 1
sevenyearold 1
she 11
shed 1
shocked 1
shoo 1
shoots 1
shore 2
shot 2
show 3
shows 1
sick 1
sight 1
silver 1
singed 1
sit 1
site 1
slave 1
sleep 1
sleeps 1
slow 1
small 1
snatches 1
sneakily 1
snowstorm 1
so 1
some 1
somehow 1
sometimes 1
son 1
sonya 3
sow 2
speeding 1
staff 1
stand 1
starts 1
states 1
stay 2
staying 1
stealing 1
stowaway 2
strange 2
strangers 1
struggles 1
success 1
such 1
superintendent 1
surprised 1
swim 1
take 2
taken 1
takes 2
teases 1
temper 2
tennis 1
terribly 1
that 10
the 125
their 6
them 6
then 5
there 3
they 11
thief 3
things 1
thinks 1
though 2
three 1
through 4
tied 1
time 3
tire 1
to 70
torments 1
tournament 1
town 2
tracker 1
trainable 1
trapped 2
tree 1
trespass 1
trespassing 1
tricks 1
tries 3
trip 3
trophy 1
trouble 1
true 1
trusts 1
try 1
turns 1
two 5
unable 2
unconscious 2
under 1
unintentionally 1
unknown 1
until 3
up 4
upset 1
vandal 1
veranda 2
very 1
views 1
visit 1
waiting 2
wake 1
walk 1
warm 1
was 5
watchdog 1
watching 1
wealthy 1
week 1
weeks 1
wellbehaved 1
were 3
what 1
when 10
where 3
which 3
while 9
whips 1
who 9
whom 1
whose 1
window 2
wins 1
with 11
wolf 2
work 1
workers 1
works 1
young 1
younger 1
