9055787
/m/027w0yr
/m/027w0yr
James Blaylock
1992
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/06www": "Steampunk"}
a 1
access 1
across 1
alice 1
allows 1
and 2
apparently 1
archnemesis 1
arkham 1
as 1
book 1
by 2
contesting 1
corpse 1
created 1
described 1
description 1
destroy 1
device 1
dr 1
earth 1
efforts 1
frozen 1
gains 1
hasbro 1
his 2
house 1
hunchback 1
ignacio 1
in 3
is 2
ives 4
joshi 1
kelvin 1
langdon 1
later 1
london 1
lord 1
murdered 1
narbondo 4
norway 1
note 1
of 3
plot 2
powerful 1
process 1
pursue 1
revivify 1
s 1
scientistexplorer 1
sixty 1
st 4
t 1
that 1
the 5
this 1
through 1
time 1
to 4
travel 1
valet 1
victorian 1
which 1
wife 1
wrong 1
years 1
