2279287
/m/070dsp
/m/070dsp
Roger Zelazny
1976
{"/m/02n4kr": "Mystery", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
1em 1
25 1
2em 1
85 1
a 49
able 1
about 3
academic 2
accomplice 1
according 1
accurate 1
adjacent 1
adviser 1
after 2
against 2
agent 1
agree 1
agrees 1
aimlessly 1
air 1
alien 9
aliens 2
alive 1
all 1
alliance 2
along 1
also 1
an 10
analyst 2
ancient 1
and 51
anglophile 1
another 2
anthropology 1
anything 1
apartment 6
are 7
around 1
arrive 1
arriving 1
as 16
asleep 2
assist 1
at 2
attack 1
attacks 1
attempts 1
attend 1
australia 1
avoid 1
avoids 1
awakens 1
award 1
awarded 1
back 4
backgroundc6dbf7 1
backwards 4
barcrawling 1
be 4
beach 2
because 2
been 1
begin 1
being 2
believe 1
believes 1
belong 1
better 2
biochemistry 1
black 2
blacks 1
blocs 1
body 3
boojum 1
box 1
break 1
breaks 1
brief 1
british 1
broad 1
brought 1
buckler 6
building 2
but 4
by 11
byler 11
bylers 2
called 1
calls 3
can 2
cannot 1
capacity 1
carefully 1
carvings 1
cassidys 1
cat 2
ceiling 1
cellspacing4 1
changing 1
charv 1
chases 1
chest 1
choosing 1
classtoccolours 1
cliff 1
closet 1
clues 1
coalition 2
colorblack 1
comes 2
coming 1
common 1
communicate 1
communication 1
computer 1
conflict 1
consciousness 1
consent 1
convinces 2
copies 1
copy 1
cottage 3
counselor 1
courses 1
credits 1
cries 1
criminals 2
crown 1
cryogenicallyfrozen 1
crystalline 1
crystallography 1
crystals 1
culture 2
cultures 1
curving 1
dangerous 1
death 1
declares 1
degree 1
delay 1
demanding 2
demands 1
dennis 1
department 1
desert 1
desire 1
developed 1
different 1
dilettante 1
directly 1
discover 1
disguised 2
doctor 2
does 2
doorways 2
down 1
drawn 1
dreams 1
driving 1
drone 1
dronehood 1
drunk 3
due 1
during 3
earth 3
easier 1
easily 1
else 1
embarrass 1
employee 1
end 1
enemy 1
enough 1
ensuing 1
entered 1
enters 2
entrance 1
entrenched 1
escapes 1
ever 1
everyone 1
everything 1
examine 1
examines 1
exchange 1
existence 1
exotic 1
experiences 1
expert 3
explains 3
exroommate 2
fact 1
faction 1
fading 2
fake 2
falls 2
fanatical 1
field 1
fight 2
find 2
finding 1
finds 3
fingernails 1
finishes 1
first 1
followed 1
fontsize 1
for 17
found 1
framed 1
fred 46
freds 8
friends 1
from 8
fully 1
functional 1
future 1
galactic 1
galaxy 2
game 1
gather 1
generous 1
geology 1
get 4
getting 1
girders 1
gives 1
go 3
goes 4
going 2
gone 1
graduating 1
graduation 2
gun 1
hal 8
hanging 1
has 5
have 3
having 1
he 26
health 1
hears 1
heart 2
hell 1
him 15
himself 3
hires 2
his 23
history 1
hold 1
home 1
hospital 2
host 1
hotel 1
housing 1
however 3
identifying 1
if 1
in 24
incised 1
information 2
infuriated 1
injuries 1
inside 1
insists 1
instructs 2
intaglio 1
into 9
intoxicated 2
inversion 1
irresponsible 1
is 27
issues 1
it 15
items 1
its 2
itself 2
jewels 1
job 2
joins 1
judgment 1
kangaroo 1
kind 1
knowledge 2
lab 1
later 1
law 1
leading 1
ledge 1
left 5
legation 2
less 1
letters 2
life 1
like 1
limit 2
lincoln 1
lips 1
loan 1
location 1
looking 2
looks 1
loses 1
machine 8
made 1
major 1
majors 2
make 1
makes 1
manages 1
mandatory 1
many 1
marginleft 1
marginright 1
mary 3
marys 1
massive 1
maxwidth 1
maybe 1
meanwhile 1
meet 2
meets 1
members 1
mind 1
minor 1
missing 1
mmrmmlrr 1
model 2
morning 1
most 1
mrime 2
multiple 1
murder 1
nadler 6
named 1
nations 3
nervous 1
new 2
newer 3
news 1
next 1
night 2
nights 1
no 1
normal 1
not 4
nothing 1
novelty 1
now 3
number 1
odd 1
of 35
off 2
offers 1
officers 1
old 2
older 1
oldest 1
on 10
one 4
ones 1
opportunist 1
opposes 1
orbit 1
order 2
organ 1
organs 1
original 2
our 1
out 3
outrages 2
outside 1
over 1
part 1
party 1
paul 2
penny 2
people 2
permit 1
phd 1
phone 1
place 1
places 1
plan 2
planets 3
playboy 1
poker 1
policies 2
position 1
power 2
powerful 1
practices 1
previously 1
probably 1
process 1
produce 1
professional 2
program 1
proper 1
provides 1
pull 1
purposes 1
put 1
puts 1
ragma 2
raised 1
ransack 1
ransacked 1
ransom 1
reach 1
read 1
real 3
realizes 2
really 1
receives 1
regulations 1
remains 1
remembers 3
removal 2
repay 1
replica 4
reporting 1
reports 2
respectively 1
return 2
returns 1
reversal 2
reverse 1
reversed 3
reversing 1
rhennius 7
right 4
roof 1
room 3
rope 1
roughs 1
runs 1
safety 1
sand 1
save 1
saying 2
says 2
school 1
second 1
secret 1
see 1
seeks 1
sees 4
seized 1
sell 1
semester 1
send 1
set 1
several 1
shady 1
shape 1
shaving 1
shoots 1
shot 1
should 2
side 2
sidmore 1
since 2
slaps 1
slowly 1
smile 2
snark 1
society 1
sociological 1
some 2
spacecraft 1
specialist 1
speicus 10
starstone 15
state 2
states 1
stays 1
steal 1
stipend 2
stone 2
stones 1
stops 1
story 1
struggle 1
study 3
stunned 1
stylefloat 1
styletextalign 2
subconscious 1
subjects 1
substitution 1
subterfuge 1
suffering 1
supervises 1
