23970344
/m/076v2hh
/m/076v2hh
Danielle Steel
2006-02
a 3
about 1
an 1
and 3
anderson 1
architect 1
as 4
beauty 1
both 1
by 1
client 1
deceased 1
desires 1
drawn 1
each 1
estate 1
fall 1
fortune 1
francisco 1
from 1
grandeur 1
has 1
hearts 1
help 1
house 3
huge 2
in 2
inherited 1
intention 1
is 2
it 1
its 1
jeff 1
just 1
lawyer 1
love 1
mansion 2
more 1
need 1
of 4
on 1
once 1
opens 1
other 1
overlooking 1
parker 1
passionate 1
repair 1
restores 1
san 1
sarah 2
she 2
something 1
spending 1
that 1
the 7
their 1
them 1
then 1
they 1
to 1
together 1
touches 1
two 1
viewed 1
who 2
with 3
work 1
