11351291
/m/02r8lnr
/m/02r8lnr
Frederic Dannay

{"/m/02n4kr": "Mystery", "/m/0c3351": "Suspense", "/m/0j5nm": "Whodunit"}
a 13
also 1
and 9
bearded 1
beheaded 1
blood 1
body 1
bottle 1
business 1
but 2
cannot 1
chase 1
checkers 2
christmas 1
clue 1
clutching 1
corpse 1
crime 1
cross 2
crosscountry 1
crucified 3
dead 1
door 1
down 1
egyptian 3
egyptology 1
ellery 3
enables 1
events 1
families 1
followers 1
form 1
found 2
from 1
game 2
go 1
has 1
he 1
headless 1
him 1
his 3
hunt 1
in 7
information 1
interaction 1
invented 1
iodine 1
is 9
island 1
key 1
later 1
lead 1
leads 1
letter 3
little 1
long 1
man 1
manager 1
many 1
millionaire 1
missing 1
mixes 1
months 1
morning 1
murder 1
murderer 1
nearby 1
neighbour 1
neighbourhood 1
new 2
notes 1
nudism 1
nudists 1
of 10
on 5
one 1
or 1
piece 1
pipes 1
pole 1
professors 1
prophet 3
queen 1
red 1
religion 1
same 1
scene 1
schoolmaster 1
scrawled 1
seems 2
shape 1
signpost 1
similarly 1
six 1
smoking 1
solution 1
solve 1
such 1
suspected 1
t 3
tau 1
that 4
the 22
their 1
third 1
this 2
tiny 1
to 7
totem 1
town 1
turn 1
university 1
unusuallycarved 1
victim 1
victims 1
virginia 1
way 2
west 1
whose 1
with 2
yachtsman 1
york 1
