25830
/m/06fwq
/m/06fwq
Tom Stoppard
1967
{"/m/0pym5": "Absurdist fiction"}
a 11
about 2
accompany 1
according 2
act 4
action 1
actors 1
actually 1
after 3
again 3
alive 1
all 2
already 1
ambassador 1
an 4
and 39
angry 1
announces 1
another 4
appearance 1
appears 2
are 16
arrives 1
as 5
ask 2
asked 1
asking 1
at 3
attack 2
attempt 1
audience 2
barrels 2
be 6
because 4
become 1
becomes 3
begin 1
begins 1
believe 1
believes 1
belt 1
bets 1
betting 1
between 1
beyond 1
black 1
blade 1
bloodbaths 1
board 1
boat 1
brief 1
bright 1
brought 1
brushes 1
but 4
by 3
calls 1
cannot 1
capable 1
capture 1
chaotic 1
character 1
characters 3
clap 1
claudius 5
clear 1
closes 1
coin 1
come 1
complains 1
complete 1
comprehend 1
confusion 1
connection 1
contemplate 1
conversation 2
convinces 1
corpse 1
could 1
couple 3
court 1
courtiers 2
dagger 1
danish 2
dark 1
dead 2
death 4
deaths 3
decides 1
deck 1
delighted 1
deliver 1
demonstrate 1
demonstrates 1
denmark 1
determine 1
die 2
dim 1
directions 1
directly 2
disappears 2
discover 1
discovers 1
distinguish 1
do 3
does 2
draws 1
dress 1
duo 1
each 1
earlier 1
encounter 1
end 3
england 3
english 1
enough 1
enters 3
entirely 1
essence 1
event 2
events 1
eventually 2
examination 1
executions 1
existence 1
extreme 1
face 2
fail 1
false 1
fate 3
features 1
few 1
final 2
finally 1
find 6
first 3
fleeing 1
flips 2
focusing 1
follow 1
for 5
forces 1
foreshadowing 1
freedom 1
frightened 1
from 12
front 1
gertrude 1
given 1
glean 1
go 2
gonzago 2
got 1
guildenstern 25
had 5
hamlet 24
hands 1
happy 1
has 11
have 2
he 12
heads 1
here 1
hesitant 1
hidden 2
hide 1
him 5
himself 3
his 8
honestly 1
how 2
illogical 1
important 1
impossibly 1
in 16
inability 2
increasingly 1
indeed 1
inform 1
information 1
instead 1
interest 1
interfering 1
interview 1
into 1
involving 2
irritation 1
is 11
it 9
job 1
justice 1
kidnapped 1
killed 2
king 5
kings 1
knife 1
knowledge 1
knows 1
language 1
last 1
later 1
laws 1
leads 1
learns 1
leave 1
leaves 2
led 1
letter 4
lie 1
life 1
lighting 1
lights 2
limits 1
lines 1
look 1
lose 1
made 1
madness 1
make 1
makes 1
many 1
may 1
means 1
meet 1
meeting 2
men 1
mission 1
more 1
moves 1
murder 2
must 1
nature 2
necessitate 1
new 1
next 1
ninetytwo 1
no 3
norwegian 1
not 8
nothing 1
now 2
of 26
off 2
offended 1
offers 1
offstage 1
on 10
once 1
one 4
ones 1
only 2
opening 1
opens 2
ophelia 1
opportunity 1
or 1
order 1
orders 2
other 1
out 1
outwitted 1
over 2
pair 4
panic 1
partners 2
passed 1
paths 1
pawns 1
people 1
perform 1
performances 1
pirates 2
place 2
plans 1
play 5
player 10
plot 1
point 2
polonius 1
portrayals 1
portraying 1
position 1
practice 1
prepare 1
presumably 1
pretending 1
prince 4
probability 1
production 2
progress 1
put 2
queen 3
questioning 1
questions 1
quite 1
reader 2
real 3
reality 1
realize 1
recent 1
recognize 1
rehearsal 1
remember 1
reported 1
reread 1
resembling 1
resigns 1
retractable 1
return 1
returns 1
revealing 1
rosencrantz 22
row 1
royal 3
sail 1
same 1
scene 4
scenes 1
scope 1
sea 1
second 1
seconds 1
see 1
seem 1
seems 1
seen 1
sees 1
seize 1
sent 1
separate 1
series 1
set 2
several 1
shakespeare 2
shifts 1
ship 2
short 1
shouting 1
show 1
side 1
sleep 1
snaps 1
so 2
soldier 1
some 1
speaking 1
stabs 1
stage 6
stands 1
starts 1
stayed 1
still 4
stop 1
stopped 1
sub 1
suggest 1
supernatural 1
switches 1
taken 2
takes 2
taking 1
tells 3
that 25
the 96
theatrical 1
their 12
them 7
themselves 3
then 1
theorizes 1
there 2
they 23
thing 1
this 3
time 1
to 40
too 1
tragedians 8
trapped 1
tries 1
troupe 1
true 1
try 1
two 4
un 1
understand 2
understands 1
unlikeliness 1
up 2
upon 1
upset 1
vanished 1
verbal 1
visible 2
voyage 1
walk 1
was 1
watch 1
well 1
what 1
when 4
where 3
wherever 1
whether 1
which 2
while 2
who 3
why 3
wins 1
with 11
within 1
without 1
witness 1
wonders 1
world 1
worthy 1
written 1
yet 1
