26485289
/m/0bbw776
/m/0bbw776
Bernard Werber
2009
4 1
a 2
ability 1
after 1
anything 1
attack 1
away 1
be 1
been 1
before 1
bomb 1
both 1
but 1
by 1
cannot 1
cassandra 1
cassandre 1
de 1
dump 1
egypt 1
est 1
finds 1
fois 3
frle 1
from 1
future 1
has 2
her 1
hirondelles 1
il 3
improvised 1
in 3
into 1
is 1
katzenberg 1
killed 1
ko 1
miroir 1
of 1
parents 1
redemption 1
refuge 1
refugees 1
remember 1
running 1
school 1
see 1
sera 1
she 1
tait 1
the 5
there 3
to 1
une 3
village 1
which 1
will 1
yard 1
