3946926
/m/0b82rr
/m/0b82rr
Randall Ingermanson
2002
a 5
aboard 1
actual 1
agent 1
although 1
an 2
and 2
antibiotics 1
apparent 1
are 1
ares 1
arrived 1
as 1
at 1
attacks 1
attempts 1
back 2
bacteria 1
bacterium 1
be 3
before 1
begin 1
breakdown 1
bringing 1
but 1
carried 1
challenged 1
clearly 1
commander 2
committed 1
complicating 1
continued 1
corresponding 1
could 1
crew 6
crewand 1
crewmembers 1
damage 1
danger 1
definite 1
direct 1
director 3
discover 2
discoveredthe 1
discovers 1
earth 3
eight 1
end 1
ends 1
engineer 1
ensuring 1
even 1
evidence 1
falls 1
fbi 1
fears 1
fellow 1
flight 2
for 2
fossil 1
from 1
funding 1
germ 2
had 1
has 1
he 1
his 4
ill 1
in 1
including 1
increase 1
infectionfrom 1
initial 1
injure 1
into 1
is 4
it 1
kill 2
life 2
lifesciences 2
live 1
marriage 1
mars 5
marsand 1
microbial 2
might 1
millions 1
mishaps 2
mission 6
months 1
multiply 1
name 1
nasa 1
now 2
of 7
official 1
on 7
or 1
other 1
own 2
peoplethis 1
physical 1
potentially 1
program 1
project 1
property 1
psychiatric 1
psychiatrically 1
races 1
responsible 1
rest 1
return 1
revealed 1
sabotaged 1
sabotagehe 1
sacrificing 1
save 1
seed 1
sensitive 1
she 1
shocked 1
showed 1
situation 1
someone 2
specialist 2
specialists 1
stay 1
strand 1
subsequent 1
subsequently 1
suffer 1
taken 1
than 1
that 7
the 28
their 3
them 1
themselves 1
they 1
theyre 1
this 2
thus 1
to 13
trying 2
two 1
upon 1
various 1
vehicle 1
very 1
was 2
way 1
when 1
which 1
who 3
with 5
working 1
would 1
