4520380
/m/0c6w5f
/m/0c6w5f
Samuel Richardson
1740
1748 1
1753 1
18th 1
a 2
abducts 1
about 1
access 2
actions 1
advice 1
after 2
allowed 1
almost 1
also 1
and 6
are 2
argued 1
as 1
asks 1
at 2
b 2
because 1
beginning 1
but 1
by 1
can 1
century 1
character 1
characters 3
charles 1
claimed 1
clarissa 1
considered 1
continues 1
country 1
death 1
decides 1
diary 1
dilemmas 1
does 1
during 1
effectively 1
epistolary 1
evaluate 1
ever 1
exclusively 1
extremely 1
for 1
grandison 1
greater 1
he 1
her 7
heroine 1
his 3
history 1
house 1
how 1
if 1
imprisons 1
in 4
is 2
kinds 1
know 1
letter 1
letters 4
letterswere 1
long 1
mainly 1
moment 1
moral 2
more 1
mother 1
motivations 1
mr 2
nearly 1
not 1
novel 1
novelists 1
novels 1
novelsnovels 1
of 7
on 1
only 1
other 3
pamela 5
parents 2
perception 1
popular 1
privy 1
reader 3
receive 1
recorded 1
restricting 1
richardson 4
see 1
series 1
several 1
she 4
simultaneously 1
since 1
sir 1
stay 1
tells 1
that 3
the 15
their 1
them 1
they 1
thoughts 2
time 1
to 7
two 1
values 1
various 1
was 1
we 1
were 1
while 1
will 1
with 1
write 1
writes 1
writing 1
writings 1
written 2
