1728601
/m/05rm5k
/m/05rm5k
William Congreve


1 1
2 1
3 1
4 1
5 2
6000 2
a 9
about 5
accept 1
accepts 1
accuses 2
act 3
acts 1
affair 3
after 2
agrees 1
ahead 1
all 3
almost 1
an 2
and 24
angry 1
appear 2
appears 4
are 3
aristocrat 1
arrange 1
arrested 1
arrived 1
arrives 1
as 3
attempts 1
away 1
be 2
because 1
been 1
before 1
begin 1
being 1
bigamy 1
blackmail 2
bring 1
brings 1
but 1
by 4
calls 1
can 2
cannot 1
cards 1
chocolate 1
comes 1
conditions 1
confronted 1
consent 4
consents 1
contract 3
countryside 1
decides 1
depth 1
detail 1
discuss 1
discusses 1
discussing 1
disgrace 1
disguise 1
displeasure 1
does 1
each 2
embarrassing 1
encouraged 2
encouragement 1
equally 1
fainall 11
fainalls 4
feeling 1
female 1
finally 1
finished 1
foible 4
footman 1
for 2
fortune 1
found 1
free 1
from 2
full 1
get 1
gets 1
give 1
gives 1
go 2
had 1
has 4
hates 1
hatred 1
have 1
having 2
he 6
help 1
her 11
him 3
his 6
home 1
honor 1
house 1
however 1
husband 1
idea 1
if 3
in 10
information 1
informed 1
inheritance 3
introduced 1
is 12
it 2
james 1
just 2
know 1
knowledge 1
known 2
knows 1
lady 16
later 3
leaves 2
let 1
lets 2
letter 2
lose 2
love 1
lover 1
loving 1
make 1
male 1
man 1
marriage 8
married 1
marry 7
marwood 5
meanwhile 1
men 1
mention 1
millamant 9
millamants 2
mirabell 21
mirabells 2
money 3
morning 1
mrs 13
nephew 1
neutralises 1
never 1
newly 1
night 2
not 1
now 1
of 12
offer 2
on 1
only 3
other 2
otherwise 1
out 2
over 1
overheard 1
park 2
petulant 1
plan 5
playing 1
plot 4
possession 1
previous 4
previously 1
property 2
proposes 1
proviso 1
public 1
relations 1
reminds 1
restores 1
roles 1
rowland 5
sabotage 1
save 1
scene 1
servant 2
servants 1
serving 1
set 3
she 12
shes 1
should 2
showing 1
sir 6
situation 1
so 1
social 1
st 1
strongwilled 1
supposed 1
take 1
takes 1
telling 2
tells 6
thanking 1
that 12
the 25
their 4
them 1
then 2
they 2
this 4
time 1
to 24
transfer 1
tricking 1
trying 1
uncle 1
under 1
unveiling 1
uses 1
vague 1
waitwell 5
wants 1
was 1
we 1
wed 1
wedding 1
were 1
where 2
which 6
who 4
whom 2
wifes 1
wilful 1
will 6
wishfort 15
wishforts 1
with 9
witwoud 1
would 2
