245137
/m/01khgt
/m/01khgt
Jules Verne
1865
100 1
1000 1
277 1
4 1
57 1
a 13
aboard 1
absurd 1
acceleration 1
accepted 1
according 1
adventurer 1
after 2
agreed 1
all 1
almost 1
america 1
american 1
amount 1
an 1
and 15
appears 1
ardan 3
ardanhaving 1
are 3
armor 1
around 1
as 1
astronauts 1
awaits 1
baltimore 1
barbicane 7
based 1
be 1
been 2
being 1
bet 1
bets 1
between 1
both 1
but 3
by 2
calculations 1
calls 1
can 1
cannon 3
cannons 1
captain 1
cause 1
center 1
challenges 1
circular 1
civil 1
club 3
clubmeets 1
columbiad 1
companions 1
construction 1
countries 1
course 1
deals 1
decide 1
deciding 1
declares 1
dedicated 1
design 1
designer 1
destinies 1
dimensions 1
doesnt 1
dollars 3
duel 3
during 1
each 1
earth 1
end 3
enemy 1
england 1
ensures 1
enterprise 1
envious 1
especially 1
europe 1
exact 1
excavation 1
explosion 1
farthing 1
feasibility 1
feat 1
few 1
financial 1
finds 1
first 1
five 1
florida 3
for 1
forest 1
french 1
from 3
give 1
gives 2
gun 4
half 1
happens 1
has 1
have 1
hill 1
him 1
his 3
hole 1
idea 1
impey 1
impossibility 1
in 12
inconclusive 1
increasing 1
incredible 1
inhabitants 1
is 7
it 2
its 1
j 1
kennedy 1
kind 1
kinds 1
latitude 1
launch 1
launched 1
left 1
longitude 1
made 1
makes 1
makings 1
maston 1
matters 1
meanwhile 1
meet 1
meeting 1
meets 1
men 1
meridian 1
michel 1
million 2
mission 1
money 1
moon 3
most 1
nearly 1
nicholl 4
nick 1
northern 1
obstacle 1
of 26
offer 1
old 1
over 2
philadelphia 1
place 2
placement 1
plans 1
plate 1
position 1
powder 1
predating 1
president 1
problem 1
project 1
projectile 6
raised 2
reaches 2
receiving 1
relative 1
requires 1
rivals 1
science 1
secretary 1
sequel 1
series 1
shoot 1
shot 1
since 1
so 1
society 1
solution 1
some 1
space 1
starts 1
states 1
stone 1
stopped 1
success 1
successfully 1
such 1
suggests 1
support 2
surprise 1
surviving 1
t 1
tampa 1
that 5
the 52
their 1
them 3
there 1
they 2
three 2
time 2
to 12
town 1
travel 3
travels 1
united 1
usa 1
use 1
variable 1
verne 1
war 1
warned 1
washington 1
weapons 1
western 1
what 1
when 2
where 2
which 6
while 1
whole 1
will 1
with 3
would 1
years 1
