8927489
/m/027p_vl
/m/027p_vl
Bernard MacLaverty


a 5
addition 1
an 1
and 5
anna 1
around 1
art 1
as 2
begins 1
between 1
book 2
born 1
broadcast 1
by 1
cathartic 1
catherine 1
catholic 1
centers 1
character 1
childhood 1
church 1
composer 1
composition 1
concept 1
considered 1
craft 1
critics 1
daughter 1
depression 2
descriptive 1
disturbing 1
donath 1
ends 1
endures 1
engages 1
explicit 1
faces 1
family 1
father 1
female 1
fleeting 1
for 1
funeral 1
grace 1
have 1
her 6
imposed 1
in 4
indeed 1
intuitive 1
irish 1
is 2
its 1
later 1
live 1
living 1
master 1
mckenna 1
minute 1
music 2
musical 1
northern 1
notes 4
novel 3
of 6
on 1
postpartum 1
power 1
powerful 1
preparations 1
prominent 1
protagonist 1
radio 1
recently 1
redeeming 1
reference 1
regarding 1
restrictions 1
scotland 1
she 3
style 1
suffers 1
symphony 2
teacher 1
terms 1
the 13
theme 1
through 1
title 1
to 2
visions 1
which 1
with 1
