11802192
/m/02rt0hl
/m/02rt0hl
Jean Little

a 3
about 1
after 1
an 2
and 8
arm 1
as 4
attitude 1
aware 1
barn 1
barnardo 1
be 1
become 1
becomes 2
book 2
broke 1
brother 2
by 2
canada 1
care 1
child 2
children 2
cope 1
copes 1
david 2
decide 1
detailing 1
difficult 1
discrimination 1
distracting 1
do 1
education 1
end 1
ends 1
england 2
epilogue 1
escaped 1
essentially 1
exchange 1
experience 1
explaining 1
faces 1
family 2
famous 1
finds 1
following 1
friends 1
from 4
girl 1
guardian 1
had 1
he 1
her 4
him 1
his 2
home 4
hosting 1
how 1
in 4
is 1
jasper 2
life 1
lives 1
local 1
made 1
marianna 5
members 1
more 1
must 1
named 1
night 1
notably 1
of 5
older 1
oldest 1
one 2
orphan 2
own 1
placed 1
program 1
receiving 1
rich 1
seems 1
sent 1
servant 1
she 1
some 1
something 1
story 1
tells 2
than 1
that 1
the 12
their 1
they 1
to 3
towards 1
up 2
victoria 7
wakes 1
was 1
well 1
went 1
what 1
where 2
which 1
whipped 1
who 1
wilson 1
with 4
worked 1
year 1
younger 1
