27339056
/m/0bxz2k2
/m/0bxz2k2
Maxine Paetro
2010-04-26
2 1
22 1
a 15
able 1
actually 1
after 2
again 1
aging 1
also 3
an 2
and 26
another 2
apprehend 1
approaches 1
are 2
armed 1
arrive 1
as 2
asleep 1
at 4
attempted 1
be 2
been 1
before 4
begin 1
below 1
blame 1
boat 2
bought 1
boxer 11
breaks 1
bridge 1
burglar 5
burglarizing 1
but 1
by 2
caliber 1
can 4
case 1
castellano 1
cat 2
caused 1
causes 1
cellphone 2
center 1
cheaper 1
child 1
children 2
chose 1
claims 1
classmates 1
closet 1
coast 1
colleague 3
come 1
coming 1
confronted 1
contact 1
country 1
crime 1
culminates 1
decide 1
defense 1
deliver 1
demands 1
despite 1
dies 1
dinner 1
discover 1
divorce 1
down 2
drive 1
drops 1
dubbed 1
earlier 1
eating 1
end 1
enough 1
escape 2
escapes 1
escaping 1
evidence 1
exchange 1
fall 1
fallen 1
falsely 1
female 3
find 1
fisherman 1
for 3
forced 1
forcing 1
francisco 1
friend 1
from 3
garages 1
gate 1
general 1
get 1
girlfriend 1
gives 1
golden 1
gotten 1
guard 1
guide 1
gun 1
had 2
happened 1
happens 1
has 3
having 2
he 6
hello 1
her 8
him 4
his 9
home 1
hope 1
however 3
idea 1
identify 1
in 15
infant 1
into 1
intruder 1
investigation 1
is 10
it 4
just 1
killing 4
killingshe 1
kills 2
kitty 1
knocks 1
latter 1
law 1
life 1
lindsay 1
love 2
makes 1
man 10
marriage 2
marriedto 1
million 1
money 1
mother 1
mothers 2
movie 3
murder 1
new 1
not 2
noticed 1
notorious 1
occurs 1
of 6
on 3
only 1
order 1
out 3
over 1
owner 2
panic 2
panties 1
parking 1
pay 1
picking 1
pistolcarried 1
places 1
plot 1
police 1
prepaid 1
process 1
protests 1
prove 1
pulls 1
random 1
ransom 5
recognized 1
response 1
revealed 2
san 1
scene 1
school 2
searches 1
secondary 1
selected 1
self 1
sergeant 1
several 1
sfpd 1
she 7
shoot 1
shooting 1
shootings 1
shoots 1
shopping 1
shot 1
so 1
squad 1
star 5
start 1
stopping 1
store 3
strikes 2
strip 1
such 1
suitcase 2
surveillance 1
table 1
tape 2
teacher 1
team 4
than 1
that 9
the 49
their 2
them 1
then 1
they 3
this 1
through 1
throughout 1
times 2
to 14
together 1
told 1
tracking 3
trek 1
turns 1
unexpectedly 1
unhappily 1
unhappy 1
uninvolved 1
unnoticed 1
until 1
up 2
upset 1
upstairs 1
via 1
wait 1
waiting 1
waits 1
wanted 1
was 6
wearing 1
wharf 1
when 1
where 1
while 1
whilst 1
who 4
whom 2
widespread 1
wife 4
wire 1
with 7
woman 1
young 1
yuki 1
