34788521
/m/0j3d55w
/m/0j3d55w
Stephan Collishaw

{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
13 1
a 8
again 1
ambitions 1
an 2
and 8
as 2
at 1
babies 1
back 3
becomes 1
been 1
befriends 1
behind 1
being 1
bits 1
brutal 1
bubbling 1
but 2
can 1
child 1
choked 1
close 1
communists 1
compared 1
daumantas 5
deepens 1
demand 1
desperate 1
does 2
drunk 2
early 1
earn 1
elderly 1
encounters 1
england 1
ethnic 1
falls 1
for 2
friendship 2
from 1
germans 1
gets 1
ghetto 1
girl 1
gives 1
goes 1
grows 1
hand 1
happens 1
has 3
have 1
he 7
her 7
him 3
his 2
hold 1
husband 3
in 7
invade 2
is 3
it 3
ivan 1
jewish 3
jolanta 2
later 1
leaves 1
life 1
lithuanian 1
lithuanians 1
living 1
local 1
longer 1
look 1
looses 1
love 1
makes 1
manuscript 2
memories 2
money 1
night 1
no 1
not 1
nothing 1
obsessed 1
of 7
old 1
on 1
one 2
own 1
particular 1
photographing 1
poet 2
poland 1
population 1
possibly 1
poverty 1
promises 1
prostitute 1
publisher 1
rachael 4
recall 1
rejects 1
roam 1
russian 1
ruta 1
save 1
saves 1
sees 1
send 1
she 4
show 1
slowly 1
small 1
some 2
son 1
steponas 1
streets 4
strikes 1
struggles 1
survive 1
svetlana 2
take 1
that 3
the 12
their 1
thugs 1
to 11
town 1
trying 1
university 1
up 3
village 1
vilna 1
vilnius 2
walks 1
washing 1
what 1
when 4
while 1
wilno 4
wish 1
with 7
woman 2
women 1
work 1
written 1
years 2
young 3
