30712763
/m/0gfjm4n
/m/0gfjm4n
Fergus Hume
1886
{"/m/02xlf": "Fiction"}
a 9
all 1
an 2
and 7
as 2
australia 1
author 1
between 1
book 1
by 1
cab 2
city 3
class 1
cloud 1
daughter 1
deceased 1
described 1
detective 1
discovered 1
divide 1
element 1
enforcement 1
evening 1
factor 1
family 2
fortunate 1
frettlby 2
given 1
gorby 1
great 1
hansom 2
have 1
himself 1
homicide 1
hung 1
illegitimate 1
in 6
influential 1
inside 1
into 1
investigation 1
involves 1
is 9
it 1
itself 1
juxtaposed 1
key 1
killer 1
later 1
law 1
less 1
like 1
living 1
melbourne 3
much 1
murder 1
mystery 1
name 1
named 1
not 1
novel 2
of 11
official 1
on 1
over 1
pall 1
place 1
plot 2
protagonist 1
revealed 1
revelation 1
role 1
secret 1
secretive 1
setting 1
significant 2
smoke 1
solving 1
story 2
streets 1
takes 1
task 1
that 1
the 25
their 1
they 1
throughout 2
was 1
wealthy 1
where 1
who 1
