23776343
/m/06zr0bh
/m/06zr0bh
Joanne Harris
2007-05-02
a 10
adventure 1
all 2
and 14
annie 1
anouk 4
as 2
at 4
back 2
be 2
because 1
become 1
becomes 1
begins 3
benevolent 1
between 1
beyond 1
blows 1
bringing 1
bullied 1
bullies 1
but 6
by 2
changed 1
charbonneau 1
chocolate 1
chocolaterie 2
clear 1
collector 1
come 1
confront 1
daughters 2
de 1
deal 1
decide 1
deteriorate 1
displeasure 1
dissatisfied 1
do 1
doing 1
down 1
enchantment 1
equally 1
eve 1
even 1
everyone 1
exactly 1
eye 1
factorymade 1
family 1
father 1
feel 1
feels 1
fight 1
finally 1
for 1
force 1
forced 2
former 1
forsaken 1
freak 1
free 1
friction 1
from 1
goes 1
ground 1
guidance 1
hallows 1
handmade 1
has 3
hates 1
have 2
helping 2
helps 2
her 11
herself 3
hiding 1
him 1
his 1
hopeless 1
identities 1
identity 1
if 1
improve 1
in 4
inability 1
influence 1
insinuate 1
into 2
is 13
it 2
kind 1
lalba 1
landlord 1
latehttpwwwjoanneharriscoukv3sitebookslollipopindexhtml 1
le 1
left 1
life 4
like 1
little 2
lives 1
living 2
longer 1
love 1
lover 1
loves 1
loving 1
made 1
magic 3
magical 1
make 1
man 1
marry 1
maybe 1
misses 1
money 1
montmartre 1
mother 2
much 1
must 1
nature 1
no 1
now 1
of 4
on 4
ordinary 1
own 1
paris 2
people 1
pressure 1
price 1
prosper 1
quality 1
reappears 1
reclaim 1
recognition 1
relationship 1
right 1
rosette 2
roux 2
scene 1
school 2
seems 3
sell 1
set 1
settle 1
she 14
shop 1
short 1
situation 1
soon 1
souls 1
spirit 1
stable 2
still 1
terrible 1
that 1
the 10
their 1
then 1
there 2
thief 1
thierry 3
thing 1
this 1
time 1
tiny 1
to 19
too 1
torment 1
tresset 1
under 2
understanding 1
unhappy 2
used 2
vianne 10
what 1
when 1
wherever 1
who 1
whom 2
widow 1
with 5
working 1
yanne 1
zozie 5
