3321984
/m/095qvk
/m/095qvk
Stephen Baxter

2047 1
500000 1
a 25
able 2
about 1
action 1
adjustment 1
after 3
agrees 1
air 1
alia 12
all 4
alternates 1
an 6
and 19
anomaly 1
answers 1
anthropogenic 1
apparition 1
apparitions 1
appeared 1
appears 2
approximately 1
archives 1
are 2
argument 1
artificial 1
as 7
asks 1
at 1
attacked 1
attempt 1
attempting 2
aunt 1
automobile 1
back 3
be 2
become 1
becomes 2
been 2
before 1
beginning 1
begins 1
behind 1
being 2
believes 1
best 1
between 2
birth 1
bombed 1
both 1
bottleneck 1
but 3
by 7
called 1
can 1
candidate 1
carrying 1
catholic 1
ceased 1
change 2
changes 1
character 1
climate 2
coalescent 4
collapses 1
collective 1
come 1
company 1
completes 1
connection 1
consultant 1
consults 1
contact 1
continues 1
convinces 1
could 3
course 1
day 1
dead 3
death 1
debate 1
depletion 1
designing 1
designs 1
desires 1
destabilize 1
disappears 1
discovering 1
discovers 1
displacing 1
do 1
does 1
down 1
drawing 1
dreams 1
drives 1
drones 1
due 1
during 1
earth 3
effect 1
effects 1
efforts 1
elderly 1
engineer 1
engineering 1
enough 2
ensuring 1
entire 1
environment 1
environments 1
erase 1
erasing 1
even 3
event 1
ever 1
every 3
everyone 2
everything 1
evolve 1
evolved 1
except 1
existed 1
existing 1
exmember 1
experienced 1
experiencing 1
explore 1
explosion 1
extinction 1
face 2
faces 1
family 5
far 1
find 3
finish 1
first 4
for 7
forgives 1
form 3
forms 1
frightens 1
from 9
frozen 3
funds 1
future 3
galaxy 2
gas 1
gasses 1
gea 1
generation 1
geoengineering 1
george 1
get 1
girl 2
go 1
goals 1
godhood 1
goes 1
government 1
gravity 1
great 1
greenhouse 1
group 3
habitation 1
hairy 1
half 1
has 3
haunted 1
have 2
having 1
he 5
help 2
helps 1
her 8
herself 1
him 2
his 7
historical 1
hive 1
however 2
human 4
humanity 2
humans 2
hydrates 2
hydrogenbased 1
if 1
immortal 1
in 14
incident 1
initial 1
injured 1
intend 1
into 3
introduced 1
investigation 1
is 14
isolated 1
it 1
its 1
john 1
join 1
joins 1
knowledge 1
kuiper 1
lastly 1
learns 1
leave 1
leaving 1
levels 1
life 3
limited 1
lives 1
living 1
long 1
low 1
make 1
makes 2
mass 1
matters 1
maverick 1
meanwhile 1
meddling 1
meet 1
members 1
met 1
methane 1
michael 17
million 1
millions 1
mistake 1
morag 4
more 2
named 1
nord 2
not 1
nowmelting 1
obligated 1
observing 3
obsessed 1
oceans 1
of 29
on 2
one 2
only 1
or 1
order 1
origin 1
own 1
part 2
past 3
period 1
permian 1
phenomenon 1
physical 1
poole 8
posthuman 2
posthumans 1
potential 1
pregnant 1
prepared 1
pressing 1
pressured 1
previously 1
priest 1
primate 1
principal 1
problem 2
production 1
program 2
project 4
projects 1
propulsion 1
quest 1
reach 1
reality 1
recording 1
recovering 1
redeem 2
redemption 4
reeling 1
refrigeration 2
reincarnating 1
related 1
relationship 1
release 1
released 1
repeat 1
research 2
resource 1
rest 1
returned 1
returning 1
reunite 1
revealed 1
rich 1
rising 1
rosa 1
sails 1
sea 1
see 1
seeing 1
seen 2
sees 1
sentience 1
serious 2
several 1
severe 1
she 1
ship 2
shut 1
siberia 1
sides 1
since 1
single 2
small 2
so 2
solar 1
something 1
son 1
space 1
stabilize 1
stars 1
start 1
stemming 1
stop 2
story 1
subsurface 1
successfully 1
such 1
suddenly 1
suffering 3
sufficient 1
system 2
systems 1
task 1
terrorist 1
test 1
that 11
the 68
their 3
them 1
then 1
there 1
thereby 2
they 3
this 4
through 1
time 5
timelines 1
to 33
together 1
tom 2
too 1
transcendence 13
transit 1
travel 1
travelling 1
travels 1
trial 1
true 1
tundra 1
two 1
ultimately 1
untenable 1
upon 1
upset 1
vast 1
very 1
visions 1
way 1
weather 1
wedge 1
when 1
where 1
whether 1
while 1
who 5
wife 3
with 7
witness 1
witnessed 1
witnessing 2
work 1
working 1
works 1
world 1
year 1
years 2
young 1
zones 1
