20273321
/m/04zy7hb
/m/04zy7hb
Carl Kosak
1974
17volume 1
a 4
american 1
an 1
and 1
as 1
asks 1
atypical 1
balzic 3
blank 1
body 1
book 1
calls 1
chief 1
cop 1
cynthia 1
day 1
detective 1
discovers 1
family 1
floor 1
for 1
force 1
genre 1
hadnt 1
her 3
in 1
is 3
it 2
janet 1
man 1
mario 2
memorial 1
middleaged 1
miss 1
more 1
novel 1
of 3
on 2
one 1
opens 1
paper 1
pisula 1
police 1
protagonist 1
questions 1
recordhot 1
rocksburg 1
room 1
roomers 1
say 1
seen 1
sense 1
serboitalian 1
series 1
she 1
sheet 1
stomach 1
student 1
summer 1
than 1
that 1
the 6
third 1
to 1
typing 1
unpretentious 1
uses 1
when 1
who 1
