21705690
/m/05mt52b
/m/05mt52b
Robert B. Parker
1978
{"/m/028v3": "Detective fiction"}
50000 1
a 23
accompanied 1
act 1
ad 1
african 2
africans 1
after 1
against 1
alias 1
alive 1
all 2
allies 2
allows 1
also 2
an 3
and 29
another 1
anyhow 1
apprehension 1
are 3
arm 1
armed 1
arranges 1
arrive 1
arrives 1
as 4
assassination 1
assembling 1
at 5
attempted 1
attempts 2
attend 1
away 1
back 1
backing 1
be 5
beaten 1
because 2
become 1
bed 1
been 1
before 2
being 1
billing 1
bodybuilder 1
bombed 1
bombing 4
book 1
boston 1
both 2
brawl 1
broken 1
but 9
by 5
calls 1
canada 2
capture 1
captured 1
chance 1
chasing 1
completed 1
concludes 1
control 1
cooperative 1
copenhagen 1
couldnt 1
countries 2
country 1
cuts 1
daughters 1
day 2
days 1
dead 2
death 1
deaths 2
decide 1
declines 1
detects 1
died 1
difficult 1
dining 1
distance 1
dixon 8
doesnt 2
doing 1
down 1
duplex 1
each 1
effort 1
england 2
enlists 1
escape 1
eventually 1
executed 1
expect 1
family 2
fee 2
few 1
find 1
first 2
fled 1
flee 1
flees 2
flies 2
fly 1
follow 1
foot 1
for 11
four 1
friends 1
from 5
further 1
games 3
get 1
gets 1
go 1
goat 1
goes 1
got 1
great 1
greatest 1
group 6
gun 1
gunmen 1
had 1
half 1
hands 1
has 3
have 2
hawk 13
he 15
head 1
heads 1
held 1
help 1
henchman 2
her 8
him 10
himself 1
hires 1
his 13
hospital 2
hotel 2
huge 1
hugh 1
in 12
information 1
insists 1
interrogate 1
intimate 1
into 1
investigation 1
involvement 1
is 7
it 4
jail 1
judas 1
just 3
katherine 2
kathie 9
keep 1
kill 2
knocks 1
know 1
knowing 1
large 1
last 3
lead 1
leader 1
leaders 1
leads 1
learn 1
least 1
leaves 1
leaving 1
left 1
less 1
liberty 1
lies 1
little 1
london 3
longrunning 1
looking 1
lose 1
loses 1
lover 1
make 1
marks 1
may 2
member 1
members 6
men 2
millionaire 1
montreal 2
more 2
move 1
native 1
near 1
nest 1
newspaper 1
next 2
night 2
nine 2
nose 1
not 1
note 1
nothing 1
novel 1
now 1
numerous 1
obligations 1
observes 2
of 25
offers 1
olympics 1
on 7
one 2
or 2
original 2
other 1
out 2
over 1
paid 1
paraplegic 1
part 1
paul 7
pay 1
paying 1
pays 1
plan 1
planning 1
police 1
powerful 1
probably 1
promised 2
pulchritude 1
pursued 1
quickly 1
random 1
recalls 1
recluse 1
reflection 1
released 1
remaining 1
rent 1
rescue 1
rescued 1
resists 1
responsible 3
restaurant 2
resulting 2
results 1
rifle 1
room 1
running 2
saying 1
says 2
scrapes 1
scuffle 1
seduce 1
series 1
setting 1
seven 1
she 5
shoot 1
short 1
shot 3
silverman 1
since 1
six 1
sniper 1
snipers 1
some 1
somewhat 1
spend 1
spends 1
spenser 29
spots 1
stadium 4
standing 1
start 1
stop 1
successful 1
susan 2
suspect 1
take 2
tell 2
terrorist 2
terrorists 1
that 3
the 47
their 2
them 5
these 1
they 3
third 1
this 1
three 3
tickets 1
tied 1
time 2
tired 1
to 35
together 1
tracks 1
tries 1
trying 2
turning 1
turns 1
twice 1
two 4
unconsciousness 1
untie 1
up 2
upon 1
usd2500 1
uses 1
vacationing 1
violence 1
warns 1
was 2
wealth 1
weapons 1
were 2
what 1
wheelchair 1
where 4
which 1
white 1
whitesupremacist 1
who 2
wife 2
with 6
within 1
without 1
worthwhile 1
zach 1
zachary 4
