12741335
/m/02x2w8v
/m/02x2w8v
Barbara Pym

{"/m/02xlf": "Fiction"}
a 7
abroad 1
admiration 1
age 1
all 1
american 1
amoral 1
an 3
and 5
annoyance 1
another 1
antique 1
apparent 1
are 1
as 1
attempt 1
attempts 1
attracted 1
attractive 2
away 1
becomes 1
been 1
begun 1
bisexual 1
both 1
boyce 1
but 3
buying 1
by 1
can 1
contains 1
control 1
dealer 1
discovers 1
does 1
elegant 1
essentially 1
eyre 1
fiction 1
flat 1
follows 1
for 2
friendly 1
girl 1
give 1
goodlooking 1
grasp 1
has 2
he 1
henry 1
her 3
him 3
his 3
house 1
humiliate 1
humphrey 4
hurt 1
in 3
is 1
james 8
john 1
keats 1
later 1
leonora 7
less 1
life 1
literary 1
london 1
lover 1
makes 1
many 1
men 1
middleaged 1
milton 1
more 1
ned 2
nephew 1
notably 1
novel 1
of 4
on 1
only 1
opportunity 1
order 1
out 2
own 2
phoebe 2
prefers 1
prises 1
pym 1
reconciliation 1
references 1
refuses 1
reject 1
relationship 1
second 1
seeing 1
selfish 1
settles 1
she 2
sitting 1
suitable 1
take 1
tenant 1
that 2
the 7
this 1
to 10
trip 1
turns 1
up 1
use 1
while 2
who 1
with 4
woman 1
works 1
young 1
