165026
/m/015zpq
/m/015zpq
Margaret Atwood
1985
215 1
a 27
able 1
about 1
according 1
activity 1
advantage 1
after 3
agent 1
all 3
allows 1
almost 1
along 1
also 3
although 1
ambiguous 1
america 1
americans 1
among 1
an 6
and 24
another 1
are 3
arranges 1
as 13
aspects 1
assets 1
assignment 1
at 1
attack 1
attempt 2
autonomy 1
away 2
banking 1
be 4
become 1
before 2
begin 1
beginning 3
begins 1
being 1
belief 1
believes 1
between 1
births 1
black 1
blamed 1
book 1
borders 1
brothel 1
by 5
called 3
calling 2
can 1
canada 1
capture 1
captured 1
case 1
cassette 1
categories 1
ceremony 1
character 1
christian 2
circumscribed 1
claim 1
class 2
classes 1
collapse 1
colleague 1
collectively 1
commander 8
compulsorily 1
concludes 2
concubines 1
congress 1
consolidate 1
constitution 1
contemplates 1
contraband 2
cooperation 1
cosmetics 1
country 3
coup 1
created 2
critics 1
dangerous 1
daughter 2
declared 1
declining 1
degradation 1
described 1
describes 1
despite 1
dictatorship 1
different 1
disappearance 1
discarded 1
discovered 2
distant 1
divulge 1
does 2
driven 1
driver 1
during 3
ecological 1
effort 1
electronic 1
enjoying 1
enters 1
epilogue 3
equal 1
era 1
escape 3
even 1
events 1
evidence 1
exchange 1
explains 1
exposing 1
extremist 1
eyes 2
failed 1
fails 1
family 1
far 1
fashion 1
final 1
finds 3
first 1
flashbacks 1
following 1
for 4
forbidden 1
formed 1
formerly 1
founded 1
fred 1
freedom 1
freeze 1
frequently 1
from 4
further 1
furtively 1
future 3
get 1
gilead 9
gileadean 1
gives 1
goes 1
going 1
government 2
had 1
handmaid 5
handmaids 1
has 2
have 2
he 7
her 26
herself 1
hidden 1
hierarchical 1
highranking 1
him 1
his 2
homophobic 1
however 1
husband 3
ideologically 1
if 4
illegal 1
implies 1
in 16
including 1
individuals 1
indoctrination 2
information 1
initial 1
intent 1
interactions 1
intercourse 1
interspersed 1
into 1
is 16
islamic 1
it 2
its 2
itself 2
jacob 1
kept 1
keynote 1
kills 1
knotly 1
know 2
known 1
large 1
later 1
launches 1
learns 1
legal 1
life 3
literally 1
lives 1
lost 1
magazines 1
many 1
mayday 3
meeting 1
meets 1
member 1
memories 1
men 3
metafictional 1
militarized 1
military 2
more 2
most 1
moved 1
movement 1
must 1
narrative 1
native 1
nativist 1
near 1
network 1
new 4
newly 1
news 1
nick 6
not 4
novel 3
occurred 1
of 38
official 2
offred 17
offredshe 1
ofglen 2
old 1
on 4
one 2
only 2
onto 1
or 3
order 2
orders 1
orthodoxy 1
other 1
overthrowing 1
part 1
past 1
patronymic 1
period 2
person 1
pervasive 1
physical 1
pieixoto 1
point 1
police 1
policy 1
portions 1
posing 1
potentially 1
power 1
pregnant 2
present 1
presented 1
president 1
pretext 1
probable 1
professor 2
purposes 1
quickly 2
racist 1
read 1
reading 1
recorded 1
reemerged 1
reestablished 1
referred 1
regime 1
relationship 2
religion 1
religious 1
rendezvous 1
reorganize 1
reproductive 1
republic 3
resistance 3
response 1
restoring 1
result 1
return 1
revolution 2
rights 2
ritual 1
ruling 1
run 1
secret 3
secretly 1
seen 1
set 1
several 1
sex 2
sexual 1
she 8
shortly 2
since 1
social 3
society 5
some 2
sons 1
speaker 1
staged 1
states 2
sterile 2
story 1
stripping 1
structure 1
studies 1
study 1
styled 1
subversive 1
such 1
suggested 1
suicide 2
supposed 1
suspends 1
symposium 2
taken 2
takes 1
taking 1
tale 2
tapes 2
tells 1
terrorist 1
terrorists 1
testamentinspired 1
that 8
the 63
their 2
them 3
theocracy 1
theocratic 2
theocraticorganized 1
these 1
they 3
third 2
thirty 1
this 3
thought 1
through 3
time 1
to 22
told 1
transcribed 1
transcription 1
truly 1
trust 1
trying 1
uncertain 1
under 2
underground 1
undesirables 1
united 2
unwoman 1
van 2
view 1
wade 1
was 3
were 2
what 2
when 1
where 1
which 1
who 1
whom 1
wife 5
will 2
with 14
within 1
woman 1
women 5
written 1
