16783984
/m/0406047
/m/0406047
Sam Enthoven
2008-01-17
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
11 1
a 14
about 1
accident 1
accidentally 1
air 1
alive 1
all 1
almost 2
an 3
and 25
anna 4
another 1
anything 1
apart 1
apparently 1
appear 1
appears 1
appointed 1
are 1
argue 1
argued 1
army 1
as 5
ask 1
at 4
audience 2
basement 1
be 1
bearer 1
because 1
bed 1
been 1
before 1
begin 1
begins 3
being 1
blocks 1
box 1
bracelet 4
breaks 1
bridge 1
british 1
buildings 1
but 5
by 5
calling 1
can 2
changing 1
choose 1
chris 8
clamps 1
class 2
classified 1
close 2
comes 2
coming 1
completely 1
confused 1
considers 1
continue 1
cool 1
correctly 1
counselor 2
created 1
creature 1
crushes 1
decision 1
defender 2
demands 1
demonstrates 1
demonstration 1
departed 1
desperate 1
developing 1
devour 1
died 2
disappears 1
discovered 1
dismayed 1
dismisses 1
do 3
does 2
doing 2
down 2
dr 2
driving 1
earth 3
eat 1
eaten 1
enclosure 1
enters 1
except 1
experiment 3
explain 1
explains 1
failed 1
failure 1
family 1
father 4
feels 1
female 1
fight 1
finds 1
finished 1
first 1
fit 1
flat 1
floods 1
focus 1
for 4
friends 1
from 1
full 1
fumes 1
funding 1
gas 1
gave 1
geeky 1
gets 1
giant 1
give 1
giving 1
glowing 1
glows 1
go 1
goes 1
going 1
gone 1
government 1
great 1
grey 1
guard 5
has 6
have 6
having 1
he 27
head 1
health 1
hears 1
her 12
him 12
hims 1
himself 2
his 11
hot 1
how 1
however 1
huff 1
hybrids 1
if 1
immediately 1
improved 1
in 9
includes 1
increasing 1
informs 1
into 3
is 18
it 9
itching 1
its 1
join 1
joined 1
just 1
kids 1
killing 1
know 1
kraken 2
lab 2
larger 1
learns 1
leaves 1
like 1
listened 1
london 2
lying 1
machines 1
mad 1
make 1
mallahid 1
mallahide 4
many 1
mckienzy 4
meanwhile 2
meets 1
military 2
minister 2
module 1
monster 1
morning 1
morons 1
mr 3
museum 3
nanobots 4
near 1
never 1
newly 1
next 1
no 2
noise 1
not 3
now 1
obey 1
oclock 1
of 8
off 4
on 3
once 1
one 2
only 1
orders 2
out 2
over 4
pain 1
paired 1
parents 1
peaceful 1
permission 1
poison 1
power 1
prepared 1
prime 2
process 1
produced 1
professor 1
project 1
rampages 1
really 1
red 1
regrets 1
remove 2
rest 1
restores 1
returns 1
reveals 1
rings 1
room 1
runs 1
sacred 1
scared 1
sea 1
security 1
sees 1
sent 1
she 6
shows 1
sinclair 3
sleeping 2
so 1
sofa 1
squirrel 3
stairs 1
stalks 1
starts 1
steel 1
story 1
strange 1
streets 1
stripping 1
struck 1
suddenly 1
surprised 1
swarm 3
swimming 1
take 2
taken 1
tank 1
task 1
tell 1
telling 1
tells 3
thames 1
than 1
that 15
the 44
their 1
them 2
then 2
there 4
they 3
thin 1
things 1
thinks 1
this 2
tim 9
times 1
to 30
topsecret 1
tramples 1
trots 1
turns 1
twelve 1
tyrannosaur 1
unable 1
unbearable 1
underground 1
understand 1
unimpressed 2
unthinkable 1
until 1
up 2
used 1
views 1
visits 1
wades 1
waits 1
wakes 1
wanders 1
wars 1
was 2
way 1
when 8
which 3
who 4
will 1
with 8
work 3
world 1
wrist 1
years 2
