7916503
/m/026jyxw
/m/026jyxw
Robert Swindells
1984
14 1
a 29
ablebodied 1
about 1
account 3
acronym 1
after 6
afterwards 1
against 1
aims 1
all 3
along 1
an 4
and 34
any 1
are 8
arm 1
arrest 1
arrive 1
arriving 1
as 8
at 5
attack 1
authority 1
away 1
baby 3
back 1
badly 1
battle 1
be 5
bearing 1
becomes 1
been 1
begin 1
behind 2
being 3
believing 1
belsen 1
ben 8
bike 2
blowing 1
blown 1
board 1
bombcasualties 1
book 1
born 1
branwell 4
brewing 1
bright 1
brother 2
brothers 1
buddy 1
burned 1
bury 1
but 6
by 3
caf 1
called 1
camp 6
campaign 1
can 2
cavemen 1
cellar 1
centre 1
chapter 1
cloud 1
collapsed 1
come 1
commissioner 6
commune 1
communist 1
communities 1
concentration 1
concrete 1
conditions 1
confiscate 1
confiscates 1
contest 1
crawls 1
creating 1
creeping 1
crops 1
danny 18
day 1
decides 1
dedicates 1
defectors 1
deformed 1
dictational 1
die 1
dies 4
disable 1
discovered 1
do 1
dose 1
down 2
driven 1
due 1
during 3
dying 1
eat 1
effects 1
elderly 1
empty 1
encounter 1
encounters 1
end 2
ending 1
ends 1
erected 1
established 1
europe 1
everyone 1
exhausted 1
exhaustion 1
expecting 2
experiences 1
fact 2
fail 1
family 2
farm 1
father 2
feeding 1
fend 1
feudal 1
few 1
fighting 1
final 1
finally 1
find 1
finds 2
flash 1
follow 1
following 2
food 5
foolishly 1
for 12
forced 1
forcing 1
foreign 1
formed 1
former 1
found 1
from 5
front 1
fuel 1
future 1
garden 1
generations 1
gentlemen 1
get 1
girl 1
given 1
go 1
gradually 1
grounds 1
group 1
groups 1
gun 1
hand 1
happened 1
has 4
have 3
he 12
head 1
heading 1
hed 1
helicopter 1
helps 1
hides 1
hillside 1
him 4
his 16
hoarding 1
holy 4
home 2
hopes 2
hospital 2
house 2
however 1
if 1
ii 1
ill 1
implements 1
in 20
include 1
initially 1
injured 2
insane 1
inside 1
intervenes 1
introduced 1
introduces 1
is 14
island 4
issues 1
it 4
journey 1
just 1
keith 1
kershaw 1
kill 1
killed 1
killing 2
kim 9
known 2
labor 1
land 1
later 3
launch 1
leader 1
learns 2
leave 4
leaving 1
led 1
ledger 2
left 1
lightning 1
like 1
live 1
lives 1
local 2
lodge 3
lodges 3
long 1
lucky 1
man 1
many 2
masada 3
maureen 1
may 1
mdash 2
meanwhile 1
meets 2
members 2
men 1
moments 2
months 1
moors 1
mother 1
motorbikes 1
mouth 1
movement 2
mr 3
much 1
mushroom 1
named 2
new 2
newlyplanted 1
night 2
no 1
not 3
notices 1
novel 1
now 1
nuclear 1
of 21
off 1
on 6
once 1
one 3
only 1
onto 1
or 1
order 1
orders 1
orphans 1
osmotherley 1
other 3
otherwise 1
out 5
outside 1
over 4
overthrow 1
overthrown 1
parents 2
pass 1
path 1
pe 1
peers 1
penalties 1
people 4
persons 1
pillbox 2
placed 1
plan 1
plans 1
plenty 1
poisoned 1
poisoning 1
population 1
pregnant 1
presently 1
prevent 1
radiation 3
raid 2
rather 1
rationcards 1
rationing 1
rations 2
read 1
realises 1
refuses 1
register 1
remaining 1
reminiscent 1
reprinted 1
rescue 1
resistance 2
responsible 1
result 1
revealing 1
revised 1
rhodes 4
roadside 1
ruins 2
rule 1
safe 1
sam 1
sanctuary 1
saying 1
scavenge 1
search 1
second 1
seek 1
sees 2
series 1
several 1
severe 1
shelter 1
shoot 1
shop 3
shortly 3
should 1
sick 1
sickness 1
side 1
sink 1
sister 1
situation 1
skipley 3
slave 1
small 1
smallholder 1
so 3
society 2
some 1
spacers 1
spots 1
start 1
starts 1
step 1
still 1
stock 1
stockroom 2
storm 1
story 1
strike 1
suit 1
sums 1
supplies 1
survived 1
survives 1
survivors 2
swiss 2
system 1
taken 2
takes 3
teacher 1
terms 1
than 1
that 9
the 75
their 5
them 3
themselves 1
there 2
they 6
thinks 1
third 1
this 1
those 1
though 1
three 1
time 2
to 25
town 3
troops 2
truck 2
tyson 1
under 1
up 4
use 1
used 1
vehicles 1
versus 1
via 1
village 1
virtual 1
visit 1
wanting 1
war 5
warn 1
was 1
weapons 1
weeks 1
were 2
what 1
whatever 1
when 2
where 1
which 5
while 1
who 5
will 3
winter 1
with 10
without 1
words 1
world 1
worried 1
worst 1
would 1
writing 1
younger 1
