203718
/m/01cxwf
/m/01cxwf
Robertson Davies
1981
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
14 1
20 1
2003 1
a 9
absentminded 1
acquaintances 1
across 1
affectionately 1
affiliation 1
after 1
age 1
also 1
alternates 1
among 1
and 19
angels 1
anglican 1
appetite 1
architectural 1
are 3
art 1
arthur 1
as 2
at 1
attain 1
attempting 1
aubrey 1
based 3
be 1
belief 1
believe 1
best 1
between 2
biography 1
book 1
books 1
brian 1
brief 1
brilliant 1
busby 1
but 1
by 3
called 1
canlit 1
case 1
central 1
character 2
characters 2
clement 1
collector 1
college 12
complicated 1
connection 2
considered 1
convincingly 1
cornish 3
counterpoint 1
cover 1
darcourt 4
davies 6
death 1
deceased 1
defrocked 1
deptford 1
did 1
dinners 1
discussions 1
donated 1
drawn 1
eccentric 1
edition 1
equally 1
equipment 1
evidence 1
executors 1
fact 2
faculty 1
family 1
farm 1
featured 1
fictional 2
first 1
follows 1
for 5
fortune 2
founding 1
francis 1
frazzled 1
from 1
generally 1
ghost 2
graduate 2
grant 1
greedy 1
greek 1
high 1
his 2
history 1
hollier 4
holy 2
in 8
includes 2
including 2
inherit 1
interdisciplinary 1
invited 1
is 11
it 3
john 2
judith 1
layout 1
life 1
like 2
lived 1
lives 1
made 1
man 1
manipulative 1
manufacture 1
many 3
maria 1
massey 5
master 1
material 1
mcvarish 3
mdash 1
memorable 1
monk 1
most 1
motion 1
much 2
myth 1
narration 1
nephew 1
new 1
not 1
notable 1
novel 3
numerous 1
of 22
on 4
or 1
originally 1
own 1
parlabane 2
partake 1
parts 1
patron 1
patterned 1
perhaps 1
picture 1
plausible 1
ploughwright 2
points 1
popularity 1
priest 1
professor 2
prominently 1
quite 1
rabelais 1
real 1
reallife 1
really 1
rebel 1
recounted 1
religious 1
researching 1
robertson 1
rooms 1
scholars 1
set 1
several 1
similarities 1
simon 1
sinister 1
skelton 1
sodomite 1
spook 1
st 2
staff 1
stands 1
stories 1
story 2
street 1
strongly 1
student 1
studies 1
style 1
supported 1
table 1
taught 1
testament 1
that 6
the 32
their 1
theotoky 2
this 3
thundering 1
to 6
toronto 2
tower 1
trilogy 1
trinity 4
university 2
urquhart 1
very 1
view 1
voice 1
voracious 1
wants 1
was 1
well 1
were 1
where 1
which 1
while 1
who 3
will 1
with 1
write 1
years 1
