2257208
/m/06zryg
/m/06zryg
Agatha Christie

2 1
a 5
actress 2
ago 1
also 1
an 1
and 9
anonymous 2
anthony 2
arrive 1
as 7
at 7
attempted 1
aunt 1
away 1
bag 2
barton 2
because 1
been 1
before 1
being 1
browne 2
but 1
by 3
car 1
champagne 1
childless 1
colonel 3
commit 1
committed 1
companions 1
confirm 1
convince 1
could 1
cyanide 2
dance 2
death 3
decided 1
depression 1
did 2
died 4
dinner 3
discover 1
disguised 1
dismissed 1
down 2
drake 2
drank 1
dropped 1
due 2
during 1
eventually 1
failed 2
for 1
fortune 1
friend 1
from 3
gassed 1
george 6
glass 1
got 1
group 1
had 5
have 3
he 1
her 9
herself 1
him 1
himself 1
his 7
husband 1
if 2
in 6
inherited 1
intended 2
investigate 1
investigation 2
inviting 1
iris 9
is 2
it 3
kill 2
knocked 1
late 1
lazy 1
lessing 1
letters 2
like 2
looked 1
lover 1
luxembourg 2
mercy 1
money 2
mother 1
mrs 2
much 1
murder 1
murdered 1
nature 1
needs 1
never 1
night 1
not 3
november 1
of 6
often 1
on 1
one 2
order 3
original 1
out 1
pack 1
passed 2
people 2
place 1
placed 1
plan 1
planned 1
planted 1
poison 1
poisoned 2
police 1
postflu 1
race 3
received 1
reconstruct 1
restage 1
restaurant 2
retrieved 1
returned 1
revealed 1
rosemary 4
run 1
ruth 6
same 2
sat 2
save 1
saying 1
seat 1
secretary 1
sent 1
seven 1
she 4
sister 2
so 1
son 1
sparkling 1
stage 1
started 1
stipulation 1
suicidal 1
suicide 4
suitor 1
table 3
teenage 1
that 7
the 26
them 1
then 1
this 1
thought 1
threatens 1
to 21
together 2
truth 1
try 1
trying 1
turn 1
uncle 1
unravel 1
up 1
very 1
victim 1
victor 4
waiter 2
was 5
well 2
went 2
were 1
when 5
where 1
who 3
wife 2
will 1
wine 1
with 3
would 2
year 1
young 1
