27366623
/m/0by1dp8
/m/0by1dp8
Nancy Springer
1979-12
a 5
about 1
absent 1
accompany 1
after 1
all 1
along 1
an 4
ancient 3
and 17
any 1
appearance 1
apprenticed 1
army 2
as 2
at 1
away 1
be 1
before 1
begins 1
benefit 1
betrays 1
bevan 11
bevans 1
both 1
but 4
can 1
celwony 1
ceremony 1
comes 1
complete 2
continue 1
coradel 3
crowned 1
cuin 10
dacaerin 1
dacaerins 1
decides 1
destiny 1
diplomatic 1
discover 1
discovers 1
dwell 1
each 2
ellid 5
end 1
engagement 1
entrusts 1
escort 1
eubaricon 1
evil 1
falls 1
finds 1
first 1
for 1
from 6
future 1
gather 1
goddess 1
gods 2
goes 1
great 1
guard 1
have 1
he 5
heir 1
her 1
high 3
him 3
himself 2
his 6
holdings 1
hope 1
hopes 1
immortal 1
immortality 1
in 7
is 5
isle 4
it 3
journey 1
keep 1
kills 1
king 3
kingdom 2
kings 1
land 1
lands 1
leave 1
leaves 1
longer 1
lordlings 1
lords 1
lose 1
love 1
loved 1
magical 1
makes 2
marking 1
marriage 1
marries 1
men 2
moon 1
mortals 2
must 1
nearly 1
never 1
of 12
offers 1
older 1
on 3
orre 3
other 2
pass 1
pel 3
preparations 1
presence 1
preying 1
priests 1
process 1
prophecies 1
prophecy 1
protectors 1
pryce 1
quest 2
raise 1
refresh 1
regional 1
represent 1
rescue 1
return 2
reveals 1
rides 1
same 1
saves 1
search 1
so 1
son 1
stirs 1
stranger 1
sword 1
tells 1
than 1
that 3
the 23
their 3
them 2
then 1
they 5
those 1
threat 1
time 2
to 18
together 3
triggers 1
turn 1
turns 1
undead 2
unwilling 1
upon 1
using 1
victory 1
wage 1
war 1
warring 1
wed 1
which 1
who 3
will 2
win 2
with 2
work 1
world 2
would 2
