142471
/m/011ytx
/m/011ytx
Joanne Harris
1999-03-04
{"/m/05hgj": "Novel", "/m/0127jb": "Magic realism", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 9
about 1
an 2
and 13
anger 1
announces 1
another 1
anouk 1
are 1
as 1
at 1
attempts 1
away 1
be 1
because 1
becomes 1
been 1
begins 1
begun 1
beliefs 1
black 2
born 1
brought 1
build 1
business 1
but 2
by 2
cab 1
carnival 1
charming 1
chocolate 1
chocolaterie 2
church 2
city 1
cleste 1
conflict 1
confusion 1
continues 1
cooking 1
crusade 1
customers 2
dangerous 1
daughter 2
days 1
dismay 1
does 2
doesnt 1
domestic 1
down 1
dream 1
during 1
earn 1
easter 1
evade 1
every 1
feels 1
festival 1
fit 1
flock 1
flouts 1
folklore 1
for 3
force 1
francis 1
freedom 1
french 1
from 3
gifts 1
go 1
going 1
govern 1
grand 1
group 1
has 3
have 1
he 3
held 1
help 1
her 12
hers 1
his 4
holds 1
however 1
in 3
initially 2
innate 1
inspire 1
into 1
is 5
just 1
killed 1
kind 1
la 1
lansquenetsoustannes 1
last 1
learn 1
lent 1
life 2
living 1
long 1
magic 1
man 2
more 1
mother 4
motif 1
move 1
mysetrious 1
mystified 1
need 1
normal 1
not 3
obey 1
of 9
old 1
on 2
one 1
open 1
out 2
own 1
passive 1
people 1
personal 2
personality 1
praline 1
priest 1
rapidly 1
recurring 1
regular 1
reynaud 3
rocher 1
rules 1
run 1
running 1
same 1
settle 2
she 6
should 1
small 2
social 1
some 1
starts 1
stay 1
story 1
strangers 1
strove 1
sunday 2
talent 1
talks 1
that 2
the 14
their 1
they 3
though 1
thoughts 1
throughout 1
to 11
town 1
tries 1
trying 1
turns 1
two 1
understands 1
unspoken 1
use 1
used 1
vianne 7
village 2
wanderers 1
we 1
were 2
when 2
who 1
wind 2
witch 1
with 2
word 1
