12163894
/m/02vryt5
/m/02vryt5
Jean Thesman

a 6
accident 1
after 1
alike 1
also 1
an 2
and 10
animals 2
antisocial 1
are 3
art 1
beasts 2
before 1
bring 1
but 3
by 2
carvings 1
chance 1
comes 1
common 1
crafts 1
each 1
emily 5
england 1
face 1
fashioned 1
father 2
finding 1
finds 1
foes 1
for 5
forge 1
friends 1
friendship 2
full 1
gains 1
give 1
grady 1
ground 1
had 1
happy 1
has 2
have 1
healing 1
her 6
home 1
house 3
in 3
into 1
is 5
larger 1
left 1
life 3
lockedup 1
marvelous 1
memorials 1
most 1
mother 1
moving 1
names 1
neighbour 1
new 2
not 1
of 5
older 1
on 1
one 1
over 1
perhaps 1
physical 1
physician 1
plastic 1
professor 1
psychic 1
queen 1
real 1
removed 1
rowan 7
saved 1
scar 1
scarred 1
secrets 1
series 1
she 2
shepherd 1
shunned 1
stand 1
start 1
stepbrother 1
stepfather 1
stories 1
strength 1
suffered 1
surgery 1
surround 1
take 1
that 1
the 12
their 1
them 2
through 1
to 4
too 1
treehouse 3
tucker 1
up 1
very 1
which 2
who 2
with 1
woodcarver 1
year 1
