23483535
/m/06w79d3
/m/06w79d3
Brandon Sanderson

a 2
agelessness 1
allows 1
an 2
and 5
apply 1
as 4
become 1
been 1
benefits 1
between 1
biochromancy 2
biochromatic 1
book 1
both 1
breath 1
bring 1
color 1
colorful 1
colors 1
contracted 1
difficult 1
directly 1
drains 1
fate 1
follows 1
from 2
godking 1
hallendren 3
has 1
her 1
home 1
hopes 1
idris 1
imminent 1
in 2
instead 1
intrigues 1
involved 1
is 3
it 2
less 1
life 2
mages 2
magic 1
magical 1
marry 1
meet 1
more 1
nation 2
object 1
objects 2
of 6
original 1
perfect 3
pitch 1
praised 1
princesses 1
provide 1
recognition 2
relating 1
rival 1
saving 1
sent 1
siri 3
sisters 1
story 1
such 1
surrounding 1
system 3
tells 1
the 9
their 1
then 1
through 1
to 9
treaty 2
two 1
unique 1
use 1
uses 1
vivenna 3
war 1
warbreaker 1
was 1
well 1
which 1
