19483567
/m/04myjmz
/m/04myjmz
Tess Gerritsen

8monthspregnant 1
a 22
about 3
after 2
again 1
airline 1
airport 1
almostmonthspregnant 1
aloneand 1
also 5
amalathea 3
an 2
and 16
anna 4
appears 1
appointmentand 1
are 1
aroused 1
as 4
asks 1
at 1
attention 1
attracted 1
babies 1
ballard 2
barry 1
batteries 2
batteryfilled 1
be 2
been 3
believes 1
belittled 1
birthday 1
black 2
bmw 1
body 2
boston 2
both 1
box 1
brings 1
brother 1
bullet 1
business 1
but 1
by 4
calls 1
car 1
carmen 3
caughtdue 1
ceo 1
charles 1
check 1
circumnavigating 1
close 1
coffinlike 1
company 1
confesses 1
cousin 1
crime 1
curiosity 1
database 1
daughter 1
de 1
dead 1
deadend 1
dealership 2
deceased 2
delays 1
deliver 1
detective 1
died 1
directs 1
dna 2
does 1
doubletake 1
driver 1
driveway 1
due 1
elijah 2
encounters 1
endnotes 1
escape 1
eventually 4
examiner 1
exwife 1
fatally 1
father 1
fbi 1
finally 1
find 1
finds 7
firearm 1
flees 1
for 5
ford 1
forty 1
found 3
from 3
frost 2
further 1
gas 1
gaulle 1
gets 1
goes 1
guard 1
had 3
hands 1
has 3
have 2
having 1
hayes 1
he 4
help 1
her 17
herand 1
heronly 1
herself 1
him 5
his 2
hit 1
hits 1
home 2
hospital 1
house 1
however 2
husband 2
identical 1
identicaltwin 1
in 8
including 1
interested 1
into 2
investigation 1
involving 1
is 15
isles 1
it 1
jailed 1
jane 1
jessup 1
just 1
kidnapper 3
killed 2
killer 1
killing 1
kiss 1
labour 1
landing 1
lank 1
later 1
latter 1
leads 1
leoni 2
license 1
likes 1
looks 1
lost 1
love 1
luggage 1
lust 1
maine 1
makes 1
manager 1
married 2
matilda 2
mattie 1
maura 13
meanwhile 1
medical 1
meeting 1
men 1
money 1
months 1
monthspregnant 1
mostly 1
mother 1
much 1
murder 2
murdered 1
murderer 1
murders 2
name 2
newton 1
no 1
not 2
now 1
nursing 1
obgyn 1
obsessive 1
of 8
off 1
office 1
old 1
on 5
one 2
other 1
out 1
over 2
paris 1
parkinglot 1
partner 1
pattern 1
pharmaceutical 1
plans 1
plead 1
police 3
possible 1
pregnant 2
previous 1
prior 1
protect 1
pursues 1
pursuit 1
realise 1
recorded 1
release 1
remains 1
report 1
results 1
returning 1
revealed 1
reveals 1
rick 2
rizzoli 7
ruining 1
same 1
sample 1
samuel 2
saving 1
sceneand 1
screwdriver 1
security 2
see 1
seeing 2
selling 1
several 1
shares 1
she 15
shoots 2
shot 1
showing 1
sister 1
slaying 1
sock 2
some 1
stabs 1
station 1
stress 1
struck 1
stuns 1
summons 1
surprised 1
take 2
taken 1
takes 1
taking 1
talon 1
talonsand 1
taped 1
taurus 1
tells 1
testing 1
that 9
the 35
their 1
them 2
then 3
there 2
thinking 1
tires 1
tissue 1
to 23
toolshed 1
torch 1
traces 1
trail 1
tries 1
trip 1
two 2
unconscious 1
up 1
upon 1
us 1
use 1
very 1
victims 1
video 1
visits 1
wakes 1
was 5
weapon 1
were 1
when 9
where 1
which 2
white 1
who 3
whom 1
wife 1
with 5
woman 5
women 2
wounding 1
wrapped 1
years 1
younger 1
