413263
/m/025cwz
/m/025cwz
Elmore Leonard

200000 2
300000 2
500000 2
a 19
aboard 1
academy 1
actor 1
actual 1
after 3
agents 1
airline 1
airport 3
although 1
always 1
an 4
and 20
angeles 3
another 2
are 4
around 1
as 4
asks 1
assignment 2
assures 1
at 2
award 1
away 1
back 1
bar 1
barboni 1
based 2
be 2
bear 1
been 1
bo 3
book 1
both 1
busted 1
but 1
buy 1
by 5
called 1
calling 1
cannot 1
cash 1
casino 1
catlett 10
centers 1
charm 1
chasing 1
check 1
chili 4
clearly 1
collect 1
collected 1
collection 1
colombian 1
comes 1
could 1
crash 1
crashes 1
daisy 1
dea 2
deal 3
dealer 1
dealing 1
death 1
delayed 1
devoe 3
disembark 1
does 1
doesnt 3
doris 1
doublecrossed 1
drinking 1
driver 1
driving 1
drug 5
ending 1
ends 2
enough 1
explains 1
extra 1
failed 1
faking 1
feel 1
few 1
fiction 1
fictional 1
film 2
final 1
find 1
finds 1
first 1
flight 1
flores 7
for 8
freaks 2
friend 1
from 4
gambled 1
get 1
go 2
goes 1
good 1
guaranteed 1
had 1
hardest 1
harry 1
has 5
having 1
he 12
heads 1
help 1
him 3
himself 1
his 12
hollywood 1
home 1
hopes 1
horror 1
house 1
however 1
idea 2
if 1
immediately 1
in 23
incomplete 1
industry 2
insurance 1
interest 1
interested 1
interesting 1
interests 1
into 2
investment 3
involved 1
is 13
isnt 1
it 4
itll 1
job 1
karen 1
keeps 1
key 1
la 1
las 4
later 1
lead 1
leads 1
left 1
leo 8
lets 1
life 1
limo 1
loanshark 2
local 1
locker 6
looking 2
loose 1
los 3
lovejoy 2
make 1
making 2
many 1
markers 1
married 1
material 1
meanwhile 2
meeting 1
meets 1
mentioned 1
mexican 1
miami 1
michael 1
middle 1
miss 1
misses 1
money 6
more 1
morning 1
move 1
movie 7
mr 2
my 1
nearby 2
needed 1
new 2
news 1
next 1
night 1
novel 1
obviously 1
of 8
offers 1
officials 2
once 1
one 1
only 1
open 1
or 1
out 4
overshadow 1
own 2
palmer 15
part 1
partner 1
past 1
pay 1
payment 1
person 1
picture 1
plane 3
play 1
pockets 1
points 1
portillo 1
problems 1
producer 1
production 1
prompting 1
questioning 1
ray 1
recalls 1
receive 1
receives 1
recounts 1
ronnie 1
safe 1
saffron 1
saw 1
says 1
scammed 1
script 3
seeking 1
send 1
senses 1
sent 2
she 2
shoots 1
showdown 1
shylock 2
sidekick 1
signs 1
skeptical 1
smalltime 1
smart 1
sneaks 1
so 1
something 1
soon 1
sound 1
staked 1
startling 1
stashed 1
still 1
story 5
structured 1
studios 1
sure 1
taken 2
takeoff 1
takes 2
tell 2
telling 1
tells 3
test 1
that 4
the 42
their 1
them 2
then 1
there 1
they 1
thinking 1
third 1
this 2
threatens 1
through 1
tied 1
to 21
toptier 1
trail 1
tries 1
two 1
unlocking 1
up 1
vegas 5
very 1
visited 1
wants 2
was 3
week 1
weir 1
were 1
when 3
where 1
which 2
while 1
who 3
whom 1
whose 1
why 1
widow 2
wingate 1
with 5
wondering 1
work 1
worthy 1
writer 1
writing 1
wrong 1
yahoo 1
yayo 3
zimm 15
