6504754
/m/0g7y47
/m/0g7y47
Vincent McDonnell
1906
a 6
accept 1
accepted 1
activist 1
also 1
and 4
as 2
at 1
attempts 1
away 1
background 2
basic 1
be 1
build 1
burakumin 3
by 3
commandment 1
common 1
conceal 1
concerns 1
connection 1
considered 1
considering 1
constricted 1
dangerous 1
deal 1
desiring 1
destructive 1
empathy 1
existed 1
experience 1
family 1
father 2
feeling 1
for 1
form 1
general 1
given 2
gossip 1
great 1
group 2
had 1
hard 1
he 1
hide 1
him 1
himself 1
his 7
identity 1
idolizes 1
in 2
inability 1
inoko 1
is 2
it 1
last 1
late 1
leads 1
meaningful 1
more 1
name 1
named 1
nature 1
need 1
never 1
not 1
novel 2
of 4
on 1
order 1
part 1
particularly 1
people 1
plot 1
position 1
prejudice 1
publication 1
questions 1
rentarou 3
reveal 2
rights 1
school 1
segawa 1
so 1
social 1
society 2
still 1
struggles 1
successful 1
superficial 1
teacher 1
the 4
their 1
this 4
those 1
through 1
time 1
to 13
touches 1
towards 1
tried 1
understanding 1
understood 1
ushimatsu 3
well 1
what 1
when 1
which 1
who 1
wishes 1
with 2
writer 1
written 1
