13013378
/m/02z3bg7
/m/02z3bg7
John Lyly

a 13
accept 1
agree 1
agrees 1
and 11
appeals 1
arcadia 1
are 2
as 4
at 1
beloved 1
bird 1
brutal 1
by 2
celia 1
ceres 4
chops 1
churlish 1
comical 1
contains 1
critics 1
cupid 5
daughter 1
differs 1
disdain 1
disguise 1
down 1
dramas 1
earned 1
elements 1
erisichthon 3
escapes 1
extant 1
faithful 1
famine 1
farcical 1
features 2
fidelia 1
fisherman 1
for 3
foresters 1
forms 1
from 2
ghost 1
has 1
have 1
he 1
held 1
her 5
him 1
his 1
home 1
house 1
humans 1
husbands 1
if 1
in 2
into 1
involves 1
is 2
it 1
lacks 1
life 1
love 3
lylian 1
lyly 3
main 1
masquerades 1
merchant 1
metamorphosis 1
montanus 1
more 1
most 1
neptune 1
niobe 1
nisa 1
none 1
normally 1
nymph 1
nymphs 4
of 9
once 1
or 1
original 2
overtly 1
pages 1
pardon 1
peasant 1
petulius 2
play 2
plays 1
plot 2
possess 1
prayer 1
protea 3
protection 1
punishes 2
quadruple 1
ramis 1
release 1
rescue 1
responds 1
restored 1
result 1
returns 1
revenging 1
revised 1
rock 1
rose 1
sacred 1
selling 1
servitude 1
set 1
she 1
shepherds 2
silvestris 1
siren 1
some 1
speculated 1
standard 1
strains 1
strikingly 1
subplot 1
takes 1
text 1
that 4
the 18
their 2
them 2
thereby 1
they 1
three 3
to 7
transformed 1
transforming 1
tree 1
two 1
typical 1
ulysses 1
version 1
via 1
wedding 1
who 2
will 1
with 1
witty 1
